"Index Name","Date","Open","High","Low","Close"
"NIFTY ALPHA 50","05 Jul 2024","57955.8","58600","57804.15","58543.85"
"NIFTY ALPHA 50","04 Jul 2024","57416.75","57887.9","57283.95","57792.10"
"NIFTY ALPHA 50","03 Jul 2024","56575.1","57143.45","56495","57088.85"
"NIFTY ALPHA 50","02 Jul 2024","56695.7","56736.2","55822.75","56270.35"
"NIFTY ALPHA 50","01 Jul 2024","56504.85","56640.5","56160.05","56573.20"
"NIFTY ALPHA 50","28 Jun 2024","56265.2","56679.85","56111","56314.80"
"NIFTY ALPHA 50","27 Jun 2024","55921.4","56263.65","55461.95","55961.55"
"NIFTY ALPHA 50","26 Jun 2024","56248.9","56343.5","55787.65","55822.80"
"NIFTY ALPHA 50","25 Jun 2024","56692.5","56824.05","56072.6","56154.55"
"NIFTY ALPHA 50","24 Jun 2024","56230.35","56526","55789.5","56430.65"
"NIFTY ALPHA 50","21 Jun 2024","56277.3","56658.05","56054.45","56197.90"
"NIFTY ALPHA 50","20 Jun 2024","56022.45","56135.8","55487.65","56085.25"
"NIFTY ALPHA 50","19 Jun 2024","56746.1","56756.3","55613.7","55784.65"
"NIFTY ALPHA 50","18 Jun 2024","56588.35","56679.6","56331.85","56537.65"
"NIFTY ALPHA 50","14 Jun 2024","55918.9","56348.15","55695.15","56238.65"
"NIFTY ALPHA 50","13 Jun 2024","55661.4","55776.95","55346.6","55720.25"
"NIFTY ALPHA 50","12 Jun 2024","54937.75","55286.3","54882.8","55190.05"
"NIFTY ALPHA 50","11 Jun 2024","54832.05","55067.1","54617.85","54748.90"
"NIFTY ALPHA 50","10 Jun 2024","54637.95","54919.05","54291.75","54515.90"
"NIFTY ALPHA 50","07 Jun 2024","53603.45","54303.55","53197.2","54272.40"
"NIFTY ALPHA 50","06 Jun 2024","52720.3","53990.4","52666.15","53418.95"
"NIFTY ALPHA 50","05 Jun 2024","50513.2","51941.4","48084.2","51844.60"
"NIFTY ALPHA 50","04 Jun 2024","55720.55","55720.55","47223.15","49834.45"
"NIFTY ALPHA 50","03 Jun 2024","56264.3","56264.3","54981.5","55710.25"
"NIFTY ALPHA 50","31 May 2024","52867.3","53401.7","51985","53190.65"
"NIFTY ALPHA 50","30 May 2024","52977.95","53225.85","52304.9","52446.05"
"NIFTY ALPHA 50","29 May 2024","52834.5","53202.25","52481.35","52984.65"
"NIFTY ALPHA 50","28 May 2024","53925.75","54049.15","52702.15","53066.60"
"NIFTY ALPHA 50","27 May 2024","53834.4","54171.2","53435.4","53763.35"
"NIFTY ALPHA 50","24 May 2024","53630.35","54010.45","53415.4","53550.45"
"NIFTY ALPHA 50","23 May 2024","53053.55","53537.45","52925.9","53503.15"
"NIFTY ALPHA 50","22 May 2024","53029.25","53340.7","52278.7","52848.80"
"NIFTY ALPHA 50","21 May 2024","52535.85","52856.35","52119.15","52818.25"
"NIFTY ALPHA 50","18 May 2024","52347.1","52401.7","52273.1","52315.65"
"NIFTY ALPHA 50","17 May 2024","51438.85","51882.3","51330.05","51835.35"
"NIFTY ALPHA 50","16 May 2024","50881.45","51349.65","50741.85","51290.00"
"NIFTY ALPHA 50","15 May 2024","50221.3","50705.9","50137.65","50632.50"
"NIFTY ALPHA 50","14 May 2024","49114.75","50035.1","49106.2","49974.25"
"NIFTY ALPHA 50","13 May 2024","49090","49133.55","47737.15","48922.70"
"NIFTY ALPHA 50","10 May 2024","48934.95","49120.45","47979.05","48961.00"
"NIFTY ALPHA 50","09 May 2024","49809.2","49963.75","48582.4","48666.90"
"NIFTY ALPHA 50","08 May 2024","49043.65","49894.2","48691.45","49712.15"
"NIFTY ALPHA 50","07 May 2024","50442.4","50467.05","48662.3","49099.40"
"NIFTY ALPHA 50","06 May 2024","51186.4","51219.55","49675.85","50313.65"
"NIFTY ALPHA 50","03 May 2024","51511.9","51542.7","50722.35","51036.10"
"NIFTY ALPHA 50","02 May 2024","50766.6","51251.15","50675.05","51158.70"
"NIFTY ALPHA 50","30 Apr 2024","50569.25","50785.3","50414.3","50494.70"
"NIFTY ALPHA 50","29 Apr 2024","50215.9","50273.1","49881.95","50173.95"
"NIFTY ALPHA 50","26 Apr 2024","50052.15","50469","49984.7","50299.30"
"NIFTY ALPHA 50","25 Apr 2024","49571.7","49940.15","49471.7","49881.70"
"NIFTY ALPHA 50","24 Apr 2024","49535.3","49583.35","49235","49506.20"
"NIFTY ALPHA 50","23 Apr 2024","48904.15","49346.95","48821.35","49282.55"
