"Index Name","Date","Open","High","Low","Close"
"NIFTY INFRASTRUCTURE","05 Jul 2024","9143.2","9267.4","9122.45","9250.60"
"NIFTY INFRASTRUCTURE","04 Jul 2024","9157.75","9194.65","9122.7","9137.25"
"NIFTY INFRASTRUCTURE","03 Jul 2024","9169.35","9174.4","9106.3","9141.65"
"NIFTY INFRASTRUCTURE","02 Jul 2024","9162.55","9188.85","9091.85","9138.10"
"NIFTY INFRASTRUCTURE","01 Jul 2024","9144.8","9163.3","9107","9131.70"
"NIFTY INFRASTRUCTURE","28 Jun 2024","9155.05","9184.65","9102.3","9133.95"
"NIFTY INFRASTRUCTURE","27 Jun 2024","9024.8","9130.2","9005.7","9106.90"
"NIFTY INFRASTRUCTURE","26 Jun 2024","8897.8","9029.45","8885.3","9015.30"
"NIFTY INFRASTRUCTURE","25 Jun 2024","8937.1","8941.45","8868.6","8896.10"
"NIFTY INFRASTRUCTURE","24 Jun 2024","8845.1","8920.65","8808.1","8899.35"
"NIFTY INFRASTRUCTURE","21 Jun 2024","8952.1","8966.65","8856.85","8885.70"
"NIFTY INFRASTRUCTURE","20 Jun 2024","8909.95","8939.95","8853.55","8929.15"
"NIFTY INFRASTRUCTURE","19 Jun 2024","9079.15","9082.25","8879.1","8892.95"
"NIFTY INFRASTRUCTURE","18 Jun 2024","9086.55","9086.75","9025.3","9053.15"
"NIFTY INFRASTRUCTURE","14 Jun 2024","9014.6","9038.25","8954.65","9028.70"
"NIFTY INFRASTRUCTURE","13 Jun 2024","9010.15","9010.15","8936.45","8978.10"
"NIFTY INFRASTRUCTURE","12 Jun 2024","8885.15","8969.55","8866.95","8935.50"
"NIFTY INFRASTRUCTURE","11 Jun 2024","8835.55","8905.7","8800.85","8856.30"
"NIFTY INFRASTRUCTURE","10 Jun 2024","8786.4","8867.55","8778.55","8806.70"
"NIFTY INFRASTRUCTURE","07 Jun 2024","8538.7","8758.75","8512","8752.60"
"NIFTY INFRASTRUCTURE","06 Jun 2024","8502.7","8635.35","8459.7","8547.50"
"NIFTY INFRASTRUCTURE","05 Jun 2024","8332.85","8420.1","7972.65","8403.95"
"NIFTY INFRASTRUCTURE","04 Jun 2024","9112.6","9115.1","7877.1","8178.00"
"NIFTY INFRASTRUCTURE","03 Jun 2024","9072.7","9166.25","8958.6","9147.00"
"NIFTY INFRASTRUCTURE","31 May 2024","8665.1","8709.55","8610.4","8668.00"
"NIFTY INFRASTRUCTURE","30 May 2024","8710.4","8721.85","8590.65","8623.05"
"NIFTY INFRASTRUCTURE","29 May 2024","8711.45","8772.75","8704.55","8721.00"
"NIFTY INFRASTRUCTURE","28 May 2024","8864.6","8872.85","8762.5","8775.20"
"NIFTY INFRASTRUCTURE","27 May 2024","8899.85","8907.4","8811.2","8845.00"
"NIFTY INFRASTRUCTURE","24 May 2024","8846.55","8908.85","8825.9","8855.90"
"NIFTY INFRASTRUCTURE","23 May 2024","8724.55","8861.6","8709.5","8848.50"
"NIFTY INFRASTRUCTURE","22 May 2024","8715.35","8723.95","8647.3","8716.45"
"NIFTY INFRASTRUCTURE","21 May 2024","8651.7","8721.95","8642.95","8683.65"
"NIFTY INFRASTRUCTURE","18 May 2024","8655.1","8662.15","8636.45","8656.95"
"NIFTY INFRASTRUCTURE","17 May 2024","8582.35","8631.5","8549.65","8623.55"
"NIFTY INFRASTRUCTURE","16 May 2024","8535","8572.45","8435.5","8561.25"
"NIFTY INFRASTRUCTURE","15 May 2024","8446.95","8506.3","8421.2","8488.30"
"NIFTY INFRASTRUCTURE","14 May 2024","8319.5","8424.8","8317.4","8415.90"
"NIFTY INFRASTRUCTURE","13 May 2024","8284.6","8322.9","8152.1","8304.70"
"NIFTY INFRASTRUCTURE","10 May 2024","8230.8","8295.3","8191.4","8283.30"
"NIFTY INFRASTRUCTURE","09 May 2024","8358.85","8378.15","8190.15","8200.80"
"NIFTY INFRASTRUCTURE","08 May 2024","8304.4","8454.2","8275.75","8421.70"
"NIFTY INFRASTRUCTURE","07 May 2024","8466.9","8471.8","8296.6","8322.50"
"NIFTY INFRASTRUCTURE","06 May 2024","8557.15","8564.15","8416.8","8444.95"
"NIFTY INFRASTRUCTURE","03 May 2024","8667.3","8674.15","8452.8","8519.50"
"NIFTY INFRASTRUCTURE","02 May 2024","8585.95","8649.9","8581.85","8630.50"
"NIFTY INFRASTRUCTURE","30 Apr 2024","8615.9","8651.4","8565.8","8575.25"
"NIFTY INFRASTRUCTURE","29 Apr 2024","8551.5","8592.75","8534.5","8587.35"
"NIFTY INFRASTRUCTURE","26 Apr 2024","8570.1","8575","8515.9","8527.25"
"NIFTY INFRASTRUCTURE","25 Apr 2024","8470.85","8565.15","8461.05","8548.40"
"NIFTY INFRASTRUCTURE","24 Apr 2024","8493","8522.35","8473.25","8489.60"
"NIFTY INFRASTRUCTURE","23 Apr 2024","8458","8479.75","8435.2","8456.25"
"NIFTY INFRASTRUCTURE","22 Apr 2024","8414.7","8439.3","8381.85","8423.60"
"NIFTY INFRASTRUCTURE","19 Apr 2024","8276.45","8370.7","8197.15","8339.05"
"NIFTY INFRASTRUCTURE","18 Apr 2024","8382.7","8462.9","8305.9","8324.40"
"NIFTY INFRASTRUCTURE","16 Apr 2024","8305.4","8363.35","8282.7","8327.00"
"NIFTY INFRASTRUCTURE","15 Apr 2024","8319.8","8409.25","8285.75","8348.15"
"NIFTY INFRASTRUCTURE","12 Apr 2024","8488.1","8527.95","8407.2","8414.30"
"NIFTY INFRASTRUCTURE","10 Apr 2024","8460.90","8512.60","8457.40","8496.55"
"NIFTY INFRASTRUCTURE","09 Apr 2024","8498.95","8500.50","8421.00","8434.20"
"NIFTY INFRASTRUCTURE","08 Apr 2024","8384.40","8470.60","8373.65","8461.80"
