Close,Date
11.4131,10-Jul-19
11.4361,11-Jul-19
11.4919,12-Jul-19
11.6171,15-Jul-19
11.634,16-Jul-19
11.6146,17-Jul-19
11.5309,18-Jul-19
11.5132,19-Jul-19
11.5012,22-Jul-19
11.5604,23-Jul-19
11.6003,24-Jul-19
11.5803,25-Jul-19
11.6014,26-Jul-19
11.7022,29-Jul-19
11.6603,30-Jul-19
11.7061,31-Jul-19
11.5176,01-Aug-19
11.5352,02-Aug-19
11.3486,05-Aug-19
11.345,06-Aug-19
11.3614,07-Aug-19
11.45,08-Aug-19
11.5774,09-Aug-19
11.4199,13-Aug-19
11.6222,14-Aug-19
11.4533,16-Aug-19
11.5802,19-Aug-19
11.6897,20-Aug-19
11.734,21-Aug-19
11.7697,22-Aug-19
11.8035,23-Aug-19
11.5089,26-Aug-19
11.558,27-Aug-19
11.5676,28-Aug-19
11.6691,29-Aug-19
11.7648,30-Aug-19
11.7838,03-Sep-19
11.829,04-Sep-19
11.9277,05-Sep-19
12.0101,06-Sep-19
11.9748,09-Sep-19
11.8721,11-Sep-19
11.9805,12-Sep-19
11.8795,13-Sep-19
11.8641,16-Sep-19
11.8976,17-Sep-19
11.8424,18-Sep-19
11.7983,19-Sep-19
11.8567,20-Sep-19
11.6969,23-Sep-19
11.7585,24-Sep-19
11.5651,25-Sep-19
11.4944,26-Sep-19
11.594,27-Sep-19
11.5665,30-Sep-19
11.6734,01-Oct-19
11.4021,03-Oct-19
11.3846,04-Oct-19
11.5413,07-Oct-19
11.4938,09-Oct-19
11.4586,10-Oct-19
11.6123,11-Oct-19
11.7333,14-Oct-19
11.8334,15-Oct-19
11.9663,16-Oct-19
11.9446,17-Oct-19
11.9014,18-Oct-19
11.8766,22-Oct-19
11.7399,23-Oct-19
11.8578,24-Oct-19
11.9025,25-Oct-19
12.1189,29-Oct-19
12.0573,30-Oct-19
12.1534,31-Oct-19
12.1473,01-Nov-19
12.1963,04-Nov-19
12.2858,05-Nov-19
12.2976,06-Nov-19
12.2428,07-Nov-19
12.1856,08-Nov-19
12.3696,11-Nov-19
12.4096,13-Nov-19
12.5209,14-Nov-19
12.5129,15-Nov-19
12.5642,18-Nov-19
12.6076,19-Nov-19
12.5634,20-Nov-19
12.5,21-Nov-19
12.5007,22-Nov-19
12.5258,25-Nov-19
12.6237,26-Nov-19
12.6229,27-Nov-19
12.6963,28-Nov-19
12.7256,29-Nov-19
12.7144,02-Dec-19
12.5814,03-Dec-19
12.5371,04-Dec-19
12.4321,05-Dec-19
12.5366,06-Dec-19
12.581,09-Dec-19
12.4991,10-Dec-19
12.4511,11-Dec-19
12.5242,12-Dec-19
12.651,13-Dec-19
12.7173,16-Dec-19
12.825,17-Dec-19
12.7544,18-Dec-19
12.8247,19-Dec-19
12.895,20-Dec-19
12.9735,23-Dec-19
13.0121,24-Dec-19
13.0511,26-Dec-19
13.1523,27-Dec-19
13.154,30-Dec-19
13.1716,31-Dec-19
13.1876,01-Jan-20
13.1556,02-Jan-20
13.0954,03-Jan-20
13.176,06-Jan-20
13.4254,07-Jan-20
13.3057,08-Jan-20
13.4736,09-Jan-20
13.5356,10-Jan-20
13.3796,13-Jan-20
13.4051,14-Jan-20
13.4793,15-Jan-20
13.5415,16-Jan-20
13.6781,17-Jan-20
13.9313,20-Jan-20
13.6814,21-Jan-20
13.8152,22-Jan-20
13.8058,23-Jan-20
13.8205,24-Jan-20
13.7245,27-Jan-20
13.609,28-Jan-20
13.7605,29-Jan-20
13.6938,30-Jan-20
13.8466,31-Jan-20
13.6613,03-Feb-20
13.8058,04-Feb-20
14.0857,05-Feb-20
14.1676,06-Feb-20
14.2207,07-Feb-20
14.1401,10-Feb-20
14.3184,11-Feb-20
14.3181,12-Feb-20
14.3789,13-Feb-20
14.4554,14-Feb-20
14.5567,17-Feb-20
