Close,Date
44.5346,10-Jul-19
44.7859,11-Jul-19
45.1082,12-Jul-19
45.0473,15-Jul-19
44.9117,16-Jul-19
45.1061,17-Jul-19
44.4123,18-Jul-19
43.7078,19-Jul-19
43.2768,22-Jul-19
43.3528,23-Jul-19
42.7721,24-Jul-19
42.8927,25-Jul-19
42.9572,26-Jul-19
41.9966,29-Jul-19
40.2964,30-Jul-19
40.6193,31-Jul-19
40.1105,01-Aug-19
39.9141,02-Aug-19
39.0419,05-Aug-19
39.3754,06-Aug-19
38.5834,07-Aug-19
39.2327,08-Aug-19
39.6808,09-Aug-19
38.27,13-Aug-19
38.8508,14-Aug-19
38.9012,16-Aug-19
38.9873,19-Aug-19
38.2856,20-Aug-19
37.4439,21-Aug-19
36.464,22-Aug-19
36.5979,23-Aug-19
37.4713,26-Aug-19
38.5179,27-Aug-19
37.9193,28-Aug-19
37.9629,29-Aug-19
38.2884,30-Aug-19
37.998,03-Sep-19
37.8928,04-Sep-19
37.968,05-Sep-19
38.5552,06-Sep-19
39.1137,09-Sep-19
39.7342,11-Sep-19
39.7562,12-Sep-19
39.8953,13-Sep-19
40.1385,16-Sep-19
38.9931,17-Sep-19
39.3526,18-Sep-19
38.7586,19-Sep-19
40.147,20-Sep-19
41.447,23-Sep-19
41.3335,24-Sep-19
40.5343,25-Sep-19
40.7706,26-Sep-19
40.7846,27-Sep-19
39.8348,30-Sep-19
39.4734,01-Oct-19
39.3337,03-Oct-19
38.8118,04-Oct-19
38.5608,07-Oct-19
38.6757,09-Oct-19
38.6549,10-Oct-19
38.6968,11-Oct-19
38.7353,14-Oct-19
38.7321,15-Oct-19
38.7129,16-Oct-19
39.1018,17-Oct-19
39.9232,18-Oct-19
40.4591,22-Oct-19
40.7809,23-Oct-19
40.5081,24-Oct-19
40.4241,25-Oct-19
40.9442,29-Oct-19
41.3243,30-Oct-19
41.2713,31-Oct-19
41.1682,01-Nov-19
41.7871,04-Nov-19
41.2371,05-Nov-19
41.0919,06-Nov-19
41.219,07-Nov-19
40.914,08-Nov-19
40.8919,11-Nov-19
41.4349,13-Nov-19
41.0788,14-Nov-19
41.1488,15-Nov-19
41.1441,18-Nov-19
41.3408,19-Nov-19
41.19,20-Nov-19
41.5529,21-Nov-19
41.3028,22-Nov-19
41.1076,25-Nov-19
41.3226,26-Nov-19
41.1975,27-Nov-19
41.384,28-Nov-19
41.3747,29-Nov-19
41.0557,02-Dec-19
41.0115,03-Dec-19
41.0597,04-Dec-19
41.0783,05-Dec-19
40.5556,06-Dec-19
40.3909,09-Dec-19
39.8833,10-Dec-19
39.9278,11-Dec-19
40.1331,12-Dec-19
40.2566,13-Dec-19
40.0384,16-Dec-19
40.0128,17-Dec-19
40.0641,18-Dec-19
39.9995,19-Dec-19
39.9554,20-Dec-19
39.8548,23-Dec-19
39.7803,24-Dec-19
39.967,26-Dec-19
40.2813,27-Dec-19
40.3654,30-Dec-19
40.8682,31-Dec-19
41.1439,01-Jan-20
41.4873,02-Jan-20
41.446,03-Jan-20
40.4893,06-Jan-20
40.9699,07-Jan-20
41.0129,08-Jan-20
41.793,09-Jan-20
42.3246,10-Jan-20
43.1262,13-Jan-20
43.6291,14-Jan-20
43.7768,15-Jan-20
43.8668,16-Jan-20
44.2312,17-Jan-20
43.7498,20-Jan-20
43.3684,21-Jan-20
43.237,22-Jan-20
43.2995,23-Jan-20
43.622,24-Jan-20
45.0084,27-Jan-20
45.1892,28-Jan-20
45.6214,29-Jan-20
45.4016,30-Jan-20
45.1826,31-Jan-20
43.8896,03-Feb-20
44.6187,04-Feb-20
45.3825,05-Feb-20
45.3467,06-Feb-20
46.2135,07-Feb-20
46.3935,10-Feb-20
46.6537,11-Feb-20
46.4871,12-Feb-20
46.1195,13-Feb-20
45.8002,14-Feb-20
45.13,17-Feb-20
44.6711,18-Feb-20
45.3174,19-Feb-20
45.4729,20-Feb-20
44.7323,24-Feb-20
44.5575,25-Feb-20
43.8756,26-Feb-20
43.7565,27-Feb-20
42.0118,28-Feb-20
41.5959,02-Mar-20
41.9619,03-Mar-20
41.4196,04-Mar-20
41.7786,05-Mar-20
41.2184,06-Mar-20
39.4993,09-Mar-20
39.2601,11-Mar-20
36.0411,12-Mar-20
36.2252,13-Mar-20
33.8666,16-Mar-20
33.2332,17-Mar-20
31.6523,18-Mar-20
31.0015,19-Mar-20
31.6945,20-Mar-20
28.9625,23-Mar-20
28.6599,24-Mar-20
29.5887,25-Mar-20
30.0808,26-Mar-20
30.126,27-Mar-20
29.9837,30-Mar-20
30.7934,31-Mar-20
30.9508,01-Apr-20
30.9508,01-Apr-20
30.7602,03-Apr-20
30.7602,03-Apr-20
32.2221,07-Apr-20
32.2221,07-Apr-20
32.3227,08-Apr-20
32.3227,08-Apr-20
33.7243,09-Apr-20
33.7243,09-Apr-20
34.0543,13-Apr-20
34.0543,13-Apr-20
34.0971,15-Apr-20
34.0971,15-Apr-20
34.446,16-Apr-20
34.446,16-Apr-20
34.5598,17-Apr-20
34.5598,17-Apr-20
34.7026,20-Apr-20
34.7026,20-Apr-20
33.9252,21-Apr-20
33.9252,21-Apr-20
34.0615,22-Apr-20
34.0615,22-Apr-20
34.3932,23-Apr-20
34.3932,23-Apr-20
34.0371,24-Apr-20
34.0371,24-Apr-20
34.5964,27-Apr-20
34.5964,27-Apr-20
34.8358,28-Apr-20
34.8358,28-Apr-20
36.0934,29-Apr-20
36.0934,29-Apr-20
35.7555,30-Apr-20
35.7555,30-Apr-20
35.1436,04-May-20
35.1436,04-May-20
34.831,05-May-20
34.831,05-May-20
34.8474,06-May-20
34.8474,06-May-20
34.7857,07-May-20
34.7857,07-May-20
34.6293,08-May-20
34.6293,08-May-20
34.4405,11-May-20
34.4405,11-May-20
34.2058,12-May-20
34.2058,12-May-20
34.469,13-May-20
34.469,13-May-20
34.6755,14-May-20
34.6755,14-May-20
34.5069,15-May-20
34.5069,15-May-20
33.4239,18-May-20
33.4239,18-May-20
33.4718,19-May-20
33.4718,19-May-20
33.8029,20-May-20
33.8029,20-May-20
34.6613,21-May-20
34.6613,21-May-20
34.8289,22-May-20
34.8289,22-May-20
35.0321,26-May-20
35.0321,26-May-20
35.5652,27-May-20
35.5652,27-May-20
35.5854,28-May-20
35.5854,28-May-20
35.5769,29-May-20
35.5769,29-May-20
36.145,01-Jun-20
36.145,01-Jun-20
37.033,02-Jun-20
37.033,02-Jun-20
36.9846,03-Jun-20
36.9846,03-Jun-20
37.1173,04-Jun-20
37.1173,04-Jun-20
37.8999,05-Jun-20
37.8999,05-Jun-20
37.8266,08-Jun-20
37.8266,08-Jun-20
38.2257,09-Jun-20
38.2257,09-Jun-20
39.336,10-Jun-20
39.336,10-Jun-20
38.5257,11-Jun-20
38.5257,11-Jun-20
38.5805,12-Jun-20
38.5805,12-Jun-20
39.6971,15-Jun-20
39.6971,15-Jun-20
39.6024,16-Jun-20
39.6024,16-Jun-20
39.9535,17-Jun-20
39.9535,17-Jun-20
40.3391,18-Jun-20
40.3391,18-Jun-20
40.8973,19-Jun-20
40.8973,19-Jun-20
42.1005,22-Jun-20
42.1005,22-Jun-20
42.4849,23-Jun-20
42.4849,23-Jun-20
41.6455,24-Jun-20
41.6455,24-Jun-20
42.1845,25-Jun-20
42.1845,25-Jun-20
42.1456,26-Jun-20
41.7302,29-Jun-20
41.7119,30-Jun-20
42.7162,01-Jul-20
42.9847,02-Jul-20
42.9489,03-Jul-20
43.1796,06-Jul-20
43.065,07-Jul-20
42.8616,08-Jul-20
43.2417,09-Jul-20
43.5285,10-Jul-20
44.5558,13-Jul-20
44.487,14-Jul-20
44.6545,15-Jul-20
44.9708,16-Jul-20
45.476,17-Jul-20
45.9996,20-Jul-20
46.1134,21-Jul-20
46.3181,22-Jul-20
47.3076,23-Jul-20
47.5133,24-Jul-20
48.1488,27-Jul-20
49.102,28-Jul-20
49.4483,29-Jul-20
49.6528,30-Jul-20
51.4887,31-Jul-20
53.1739,03-Aug-20
52.7086,04-Aug-20
53.6508,05-Aug-20
53.6847,06-Aug-20
54.0946,07-Aug-20
56.1004,10-Aug-20
56.062,11-Aug-20
55.8413,12-Aug-20
55.7944,13-Aug-20
55.3234,14-Aug-20
56.0122,17-Aug-20
56.3547,18-Aug-20
56.6612,19-Aug-20
56.8635,20-Aug-20
58.0929,21-Aug-20
59.4096,24-Aug-20
59.4167,25-Aug-20
59.5786,26-Aug-20
59.1374,27-Aug-20
58.3193,28-Aug-20
56.1232,31-Aug-20
56.7182,01-Sep-20
58.3711,02-Sep-20
58.0723,03-Sep-20
57.2123,04-Sep-20
57.2915,07-Sep-20
56.9116,08-Sep-20
56.16,09-Sep-20
57.3766,10-Sep-20
58.6593,11-Sep-20
59.9587,14-Sep-20
60.5586,15-Sep-20
61.4213,16-Sep-20
61.8109,17-Sep-20
62.1321,18-Sep-20
59.4622,21-Sep-20
58.6805,22-Sep-20
59.0419,23-Sep-20
57.8558,24-Sep-20
59.285,25-Sep-20
60.9089,28-Sep-20
60.7826,29-Sep-20
60.8643,30-Sep-20
61.2896,01-Oct-20
61.778,05-Oct-20
62.1738,06-Oct-20
61.9028,07-Oct-20
62.3676,08-Oct-20
62.0458,09-Oct-20
62.0278,12-Oct-20
61.9921,13-Oct-20
61.9185,14-Oct-20
60.626,15-Oct-20
60.9198,16-Oct-20
61.8281,19-Oct-20
62.0355,20-Oct-20
61.9643,21-Oct-20
62.0282,22-Oct-20
62.6701,23-Oct-20
62.3725,26-Oct-20
62.2043,27-Oct-20
62.0676,28-Oct-20
62.1065,29-Oct-20
62.2918,30-Oct-20
62.3929,02-Nov-20
62.3407,03-Nov-20
62.3309,04-Nov-20
63.2594,05-Nov-20
63.1549,06-Nov-20
63.301,09-Nov-20
62.0664,10-Nov-20
62.7007,11-Nov-20
63.4036,12-Nov-20
64.1751,13-Nov-20
64.7959,17-Nov-20
64.799,18-Nov-20
64.8621,19-Nov-20
64.9864,20-Nov-20
65.6643,23-Nov-20
66.1994,24-Nov-20
65.621,25-Nov-20
65.9467,26-Nov-20
66.6018,27-Nov-20
67.6987,01-Dec-20
68.3326,02-Dec-20
69.0953,03-Dec-20
69.3449,04-Dec-20
70.9433,07-Dec-20
70.9871,08-Dec-20
71.0507,09-Dec-20
70.7935,10-Dec-20
70.7326,11-Dec-20
70.88,14-Dec-20
70.9303,15-Dec-20
71.2708,16-Dec-20
71.0058,17-Dec-20
