Name,Industry,Holding_Change,%_NAV_April,%_NAV_May,MARKET_VALUE_April,MARKET_VALUE_May,QUANTITY_April,QUANTITY_May
Bharat Electronics Ltd,Aerospace & Defense,-100,0.98,0,6813.81,0,2915000,0
Escorts Kubota Limited,"Agricultural, Commercial & Construction Vehicles",0,2.83,2.8,19590.42,22272.14,583300,583300
Samvardhana Motherson International Ltd,Auto Components,26.87320007,5.56,7.08,38496.05,56305.08,29341500,37226500
HDFC Bank Limited,Banks,1000,0,2.81,0,22360.63,0,1460000
Punjab National Bank,Banks,-100,4.89,0,33811.1,0,23971000,0
Dalmia Bharat Limited,Cement & Cement Products,-100,0.83,0,5744.75,0,312529,0
Linde India Ltd.,Chemicals & Petrochemicals,-7.710843373,6.19,5.24,42826.96,41696.97,518750,478750
Tata Chemicals Ltd,Chemicals & Petrochemicals,-100,1.1,0,7596.18,0,708500,0
Bharat Heavy Electricals Ltd,Electrical Equipment,-100,4.58,0,31663.08,0,11240000,0
SUN TV Network Limited,Entertainment,130.6884582,1.52,3.06,10549.01,24374.34,1609553,3713053
Steel Authority of India Ltd,Ferrous Metals,69.89686709,3.66,5.22,25314.71,41515.91,15417000,26193000
UPL Limited,Fertilizers & Agrochemicals,-100,0.21,0,1420.02,0,280000,0
CRISIL Limited,Finance,14.24505106,1.66,1.55,11463.17,12337.94,263137,300621
Poonawalla Fincorp Limited,Finance,6.526907027,4.25,3.6,29394.84,28661.68,5991000,6382027
Jio Financial Services Limited,Finance,0,3.37,2.68,23292.38,21275.15,6178350,6178350
Oracle Financial Services Software Ltd,IT - Software,0,3.26,2.78,22545.19,22118.84,296700,296700
Indian Railway Catering & Tourism Corp,Leisure Services,0,2.48,2.12,17191.31,16886.79,1655000,1655000
NMDC Ltd,Minerals & Mining,0,4.74,4.22,32783.26,33524.23,12886500,12886500
Reliance Industries Limited,Petroleum Products,16.72096043,9.31,9.22,64396.9,73289.4,2194850,2561850
Zydus Lifesciences Limited,Pharmaceuticals & Biotechnology,1000,0,2.26,0,18012.7,0,1801000
Glaxosmithkline Pharmaceuticals Ltd,Pharmaceuticals & Biotechnology,11.9047619,1.77,2.17,12270.09,17234.99,588000,658000
Aurobindo Pharma Limited,Pharmaceuticals & Biotechnology,0,8.79,7.86,60824.06,62521.96,5273000,5273000
NHPC Ltd,Power,1000,0,2.77,0,22023.79,0,20535000
Tata Power Company Limited,Power,184.3269231,0.84,2.03,5840.25,16143.37,1300000,3696250
Adani Power Limited,Power,10.44212397,3.98,4.72,27566.37,37570.82,4501000,4971000
Tata Communications Limited,Telecom - Services,0,2.94,2.63,20368.98,20939.48,1177500,1177500
Vodafone Idea Ltd.,Telecom - Services,-16.42817293,3.09,2.6,21394.9,20656.95,162082595,135455386
GMR Airports Infrastructure Limited,Transport Infrastructure,-100,2.64,0,18281.71,0,21470000,0
Container Corporation of India Ltd,Transport Services,49.65681098,5.63,7.66,38940.64,60933.25,3788000,5669000
