SR,ISIN,NAME,INDUSTRY,QUANTITY,MARKET_VALUE,%_NAV
1,INE002A01018,Reliance Industries Limited,Petroleum Products,229550,6549.64,9.11
2,INE031A01017,Housing & Urban Devlopment Company Ltd,Finance,2750000,4739.63,6.59
3,INE002L01015,SJVN Limited,Power,3425000,4514.15,6.28
4,INE0J1Y01017,Life Insurance Corporation Of India,Insurance,440000,4178.9,5.81
5,INE264T01014,Capacite Infraprojects Limited,Construction,1300000,3421.6,4.76
6,INE814H01011,Adani Power Limited,Power,540000,3038.58,4.22
7,INE335Y01020,Indian Railway Catering & Tourism Corp,Leisure Services,280000,2736.16,3.8
8,INE019C01026,Himadri Speciality Chemical Limited,Chemicals & Petrochemicals,709000,2654.14,3.69
9,INE257A01026,Bharat Heavy Electricals Ltd,Electrical Equipment,1000000,2282.5,3.17
10,INE844O01030,Gujarat Gas Ltd,Gas,370000,2150.81,2.99
11,INE245A01021,Tata Power Company Limited,Power,525000,2046.19,2.84
12,INE376G01013,Biocon Ltd,Pharmaceuticals & Biotechnology,700000,1878.8,2.61
13,INE356A01018,Mphasis Ltd,IT - Software,66750,1734.5,2.41
14,INE976G01028,RBL Bank Limited,Banks,587500,1530.73,2.13
15,INE775A01035,Samvardhana Motherson International Ltd,Auto Components,1250000,1415.63,1.97
16,INE129A01019,GAIL (India) Limited,Gas,800000,1380.8,1.92
17,INE437A01024,Apollo Hospitals Enterprise Ltd,Healthcare Services,20000,1270.59,1.77
18,INE216A01030,Britannia Industries Limited,Food Products,22000,1143.65,1.59
19,INE228A01035,Usha Martin Limited,Industrial Products,300000,1115.55,1.55
20,INE511C01022,Poonawalla Fincorp Limited,Finance,225000,1076.18,1.5
21,INE599M01018,Just Dial Limited,Retailing,120000,993.72,1.38
22,INE305A01015,Tourism Finance Corporation of India Ltd,Finance,450000,823.05,1.14
23,INE922K01024,INDIA SHELTER FIN CORP LTD,Finance,125000,765.69,1.06
24,INE092A01019,Tata Chemicals Ltd,Chemicals & Petrochemicals,32500,334.12,0.46
25,INE285J01028,SIS LIMITED,Commercial Services & Supplies,21859,106.54,0.15
