SR,ISIN,NAME,INDUSTRY,QUANTITY,MARKET_VALUE,%_NAV
1,INE002A01018,Reliance Industries Limited,Petroleum Products,725500,22713.95,10.68
2,INE040A01034,HDFC Bank Limited,Banks,1311500,22083.04,10.39
3,INE111A01025,Container Corporation of India Ltd,Transport Services,1365000,14228.76,6.69
4,INE245A01021,Tata Power Company Limited,Power,2992125,13183.3,6.20
5,INE335Y01020,Indian Railway Catering & Tourism Corp,Leisure Services,1102500,10906.48,5.13
6,INE777F01014,Exicom Tele-Systems Limited,Electrical Equipment,1868000,8480.72,3.99
7,INE647O01011,Aditya Birla Fashion And Retail Ltd,Retailing,2520000,7866.18,3.70
8,INE196A01026,Marico Limited,Agricultural Food & other Products,1160000,7110.8,3.34
9,INE696F01016,Juniper Hotels Limited,Leisure Services,1632854,6912.69,3.25
10,INE775A01035,Samvardhana Motherson International Ltd,Auto Components,3250000,6185.08,2.91
11,INE331A01037,The Ramco Cements Limited,Cement & Cement Products,637500,5332.37,2.51
12,INE081A01020,Tata Steel Limited,Ferrous Metals,3000000,5220.3,2.45
13,INE031A01017,Housing & Urban Devlopment Company Ltd,Finance,1660000,4667.92,2.20
14,INE854D01024,United Spirits Limited,Beverages,354200,4521.36,2.13
15,INE0J1Y01017,Life Insurance Corporation Of India,Insurance,440000,4350.5,2.05
16,INE795G01014,HDFC Life Insurance Co Ltd,Insurance,713900,4248.06,2.00
17,INE424H01027,SUN TV Network Limited,Entertainment,440000,3309.68,1.56
18,INE264T01014,Capacite Infraprojects Limited,Construction,900000,2794.95,1.31
19,INE812G01025,SMS Pharmaceuticals Limited,Pharmaceuticals & Biotechnology,1202000,2685.03,1.26
20,INE406A01037,Aurobindo Pharma Limited,Pharmaceuticals & Biotechnology,200000,2415.2,1.14
21,INE988S01028,Apeejay Surrendra Park Hotels Limited,Leisure Services,1211328,2181,1.03
22,INE548A01028,HFCL Limited,Telecom - Services,1900000,2150.23,1.01
23,INE772T01024,Popular Vehicles And Services Limited,Automobiles,881375,2106.93,0.99
24,INE085A01013,Chambal Fertilizers & Chemicals Ltd,Fertilizers & Agrochemicals,400000,2027.2,0.95
25,INE498L01015,L&T Finance Limited,Finance,1000000,1811.7,0.85
26,INE208C01025,Aegis Logistics Limited,Gas,202582,1768.24,0.83
27,INE465A01025,Bharat Forge Limited,Auto Components,100000,1670.35,0.79
28,INE599M01018,Just Dial Limited,Retailing,143000,1469.83,0.69
29,INE347A01017,Mangalam Cement Limited,Cement & Cement Products,143500,1253.83,0.59
30,INE216A01030,Britannia Industries Limited,Food Products,22000,1204.62,0.57
31,INE285K01026,Techno Electric & Engineering Co Ltd,Construction,50000,776.65,0.37
32,INE492A01029,Heubach Colorants India Limited,Chemicals & Petrochemicals,50000,232.48,0.11
