ISIN,Name,Industry,%_NAV_April,%_NAV_May,MARKET_VALUE_April,MARKET_VALUE_May,QUANTITY_April,QUANTITY_May,Holding_Change
INE00WC01027,Affle (India) Limited,IT - Services,0,0.16,0,3362.29,0,295651,1000
INE026A01025,Gujarat State Fert & Chemicals Ltd,Fertilizers & Agrochemicals,0,0.37,0,7790.35,0,3700000,1000
INE040A01034,HDFC Bank Limited,Banks,0,2.26,0,48029.41,0,3136000,1000
INE053F01010,Indian Railway Finance Corp Ltd,Finance,0,0.63,0,13335,0,7500000,1000
INE0LRU01027,Aarti Pharmalabs Limited,Pharmaceuticals & Biotechnology,0,0.28,0,5906.62,0,1051000,1000
INE271B01025,Maharashtra Seamless Ltd,Industrial Products,0,0.4,0,8520.86,0,1300497,1000
INE647O01011,Aditya Birla Fashion And Retail Ltd,Retailing,0,1.17,0,24954.34,0,8675245,1000
INE681B01017,Indraprastha Medical Corporation Limited,Healthcare Services,0,0.2,0,4253.06,0,1726081,1000
INE725G01011,ICRA Limited,Capital Markets,0,0.08,0,1614.08,0,28717,1000
INE031A01017,Housing & Urban Devlopment Company Ltd,Finance,0.63,2.89,12796.5,61350.64,5700000,22407101,293.1070351
INE594H01019,Thyrocare Technologies Limited,Healthcare Services,0.07,0.21,1395.28,4514.19,216340,737372,240.8394194
INE953L01027,Jana Small Finance Bank Ltd,Banks,0.16,0.39,3322.64,8262.71,553450,1419222,156.4318367
INE700A01033,Jubilant Pharmova Limited,Pharmaceuticals & Biotechnology,0.4,0.99,8072.94,21048.45,1197411,3059145,155.479948
INE263M01029,KEYSTONE REALTORS LIMITED,Realty,1.16,2.01,23304.47,42683.99,3377704,6150431,82.0891055
INE0J1Y01017,Life Insurance Corporation Of India,Insurance,1.06,1.69,21459.69,35886.87,2193682,3543682,61.54036911
INE371A01025,Graphite India Limited,Industrial Products,0.97,1.23,19553.95,26212.51,2891100,4636100,60.35764934
INE814H01011,Adani Power Limited,Power,1.35,2.31,27206.2,48999.97,4442192,6483192,45.94578532
INE634I01029,KNR Constructions Ltd,Construction,0.23,0.39,4727.65,8199.66,1779320,2579320,44.96099634
INE510A01028,Engineers India Limited,Construction,0.93,1.26,18814.67,26677.8,7692017,10742017,39.65149843
INE614B01018,Karnataka Bank Ltd,Banks,1.22,1.49,24561.6,31618.92,10621233,14754512,38.91524647
INE032B01021,Prime Securities Limited,Finance,0.11,0.15,2174.4,3244.88,1200000,1611960,34.33
INE545A01016,HEG Limited,Industrial Products,1.73,2.01,34866.63,42787.09,1476211,1862211,26.14802355
INE463V01026,Anand Rathi Wealth Limited,Capital Markets,1.79,2.23,36152.06,47374.33,904197,1129197,24.88395781
INE208C01025,Aegis Logistics Limited,Gas,2.67,3.12,53842.7,66332.6,7835085,9384254,19.77220413
INE821I01022,IRB Infrastructure Developers Limited,Construction,3.42,3.77,68886.09,80181.33,101303074,121303074,19.74273752
INE191A01027,Orchid Pharma Limited,Pharmaceuticals & Biotechnology,1.63,1.64,32872.02,34753.05,3047515,3465947,13.73026876
INE548A01028,HFCL Limited,Telecom - Services,1.89,2.09,38035.01,44451.25,37845780,42844580,13.20834185
INE873D01024,INDOCO REMEDIES LIMITED,Pharmaceuticals & Biotechnology,0.63,0.59,12681.36,12616.59,3878685,4199230,8.264269978
INE119A01028,Balrampur Chini Mills Limited,Agricultural Food & other Products,0.76,0.75,15398.76,15844.89,3893000,4189000,7.603390701
INE696F01016,Juniper Hotels Limited,Leisure Services,0.7,0.66,14128.49,14105.98,3037731,3257731,7.242247585
INE002A01018,Reliance Industries Limited,Petroleum Products,9.64,9.47,194376.03,201170.03,6624950,7031950,6.143442592
INE034A01011,Arvind Limited,Textiles & Apparels,2.09,2.51,42128.44,53334.59,13371985,14133985,5.698480816
INE988S01028,Apeejay Surrendra Park Hotels Limited,Leisure Services,0.36,0.3,7200.54,6428.97,3670000,3831328,4.395858311
INE109A01011,Shipping Corporation Of India Limited,Transport Services,1.82,1.95,36760.78,41342.36,16176359,16826359,4.018209537
INE142Q01026,Sula Vineyards Limited,Beverages,1.1,1.03,22194,21895.56,4063718,4193748,3.199779119
INE00E101023,Bikaji Foods International Limited,Food Products,2.97,3.15,59965.99,66830.82,11253822,11253822,0
INE019C01026,Himadri Speciality Chemical Limited,Chemicals & Petrochemicals,0.53,0.44,10627.5,9434.39,2834000,2834000,0
INE039O01011,Jash Engineering Limited,Industrial Manufacturing,0.41,0.43,8241.89,9043.38,412817,412817,0
