SR,ISIN,NAME,INDUSTRY,QUANTITY,MARKET_VALUE,%_NAV
1,INE002A01018,Reliance Industries Limited,Petroleum Products,2194850,64396.9,9.31
2,INE406A01037,Aurobindo Pharma Limited,Pharmaceuticals & Biotechnology,5273000,60824.06,8.79
3,INE473A01011,Linde India Ltd.,Chemicals & Petrochemicals,518750,42826.96,6.19
4,INE111A01025,Container Corporation of India Ltd,Transport Services,3788000,38940.64,5.63
5,INE775A01035,Samvardhana Motherson International Ltd,Auto Components,29341500,38496.05,5.56
6,INE160A01022,Punjab National Bank,Banks,23971000,33811.1,4.89
7,INE584A01023,NMDC Ltd,Minerals & Mining,12886500,32783.26,4.74
8,INE257A01026,Bharat Heavy Electricals Ltd,Electrical Equipment,11240000,31663.08,4.58
9,INE511C01022,Poonawalla Fincorp Limited,Finance,5991000,29394.84,4.25
10,INE814H01011,Adani Power Limited,Power,4501000,27566.37,3.98
11,INE114A01011,Steel Authority of India Ltd,Ferrous Metals,15417000,25314.71,3.66
12,INE758E01017,Jio Financial Services Limited,Finance,6178350,23292.38,3.37
13,INE881D01027,Oracle Financial Services Software Ltd,IT - Software,296700,22545.19,3.26
14,INE669E01016,Vodafone Idea Ltd.,Telecom - Services,162082595,21394.9,3.09
15,INE151A01013,Tata Communications Limited,Telecom - Services,1177500,20368.98,2.94
16,INE042A01014,Escorts Kubota Limited,"Agricultural, Commercial & Construction Vehicles",583300,19590.42,2.83
17,INE776C01039,GMR Airports Infrastructure Limited,Transport Infrastructure,21470000,18281.71,2.64
18,INE335Y01020,Indian Railway Catering & Tourism Corp,Leisure Services,1655000,17191.31,2.48
19,INE159A01016,Glaxosmithkline Pharmaceuticals Ltd,Pharmaceuticals & Biotechnology,588000,12270.09,1.77
20,INE007A01025,CRISIL Limited,Finance,263137,11463.17,1.66
21,INE424H01027,SUN TV Network Limited,Entertainment,1609553,10549.01,1.52
22,INE092A01019,Tata Chemicals Ltd,Chemicals & Petrochemicals,708500,7596.18,1.1
23,INE263A01024,Bharat Electronics Ltd,Aerospace & Defense,2915000,6813.81,0.98
24,INE245A01021,Tata Power Company Limited,Power,1300000,5840.25,0.84
25,INE00R701025,Dalmia Bharat Limited,Cement & Cement Products,312529,5744.75,0.83
26,INE628A01036,UPL Limited,Fertilizers & Agrochemicals,280000,1420.02,0.21
