SR,ISIN,NAME,INDUSTRY,QUANTITY,MARKET_VALUE,%_NAV
1,INE002A01018,Reliance Industries Limited,Petroleum Products,2561850,73289.4,9.22
2,INE406A01037,Aurobindo Pharma Limited,Pharmaceuticals & Biotechnology,5273000,62521.96,7.86
3,INE111A01025,Container Corporation of India Ltd,Transport Services,5669000,60933.25,7.66
4,INE775A01035,Samvardhana Motherson International Ltd,Auto Components,37226500,56305.08,7.08
5,INE473A01011,Linde India Ltd.,Chemicals & Petrochemicals,478750,41696.97,5.24
6,INE114A01011,Steel Authority of India Ltd,Ferrous Metals,26193000,41515.91,5.22
7,INE814H01011,Adani Power Limited,Power,4971000,37570.82,4.72
8,INE584A01023,NMDC Ltd,Minerals & Mining,12886500,33524.23,4.22
9,INE511C01022,Poonawalla Fincorp Limited,Finance,6382027,28661.68,3.6
10,INE424H01027,SUN TV Network Limited,Entertainment,3713053,24374.34,3.06
11,INE040A01034,HDFC Bank Limited,Banks,1460000,22360.63,2.81
12,INE042A01014,Escorts Kubota Limited,"Agricultural, Commercial & Construction Vehicles",583300,22272.14,2.8
13,INE881D01027,Oracle Financial Services Software Ltd,IT - Software,296700,22118.84,2.78
14,INE848E01016,NHPC Ltd,Power,20535000,22023.79,2.77
15,INE758E01017,Jio Financial Services Limited,Finance,6178350,21275.15,2.68
16,INE151A01013,Tata Communications Limited,Telecom - Services,1177500,20939.48,2.63
17,INE669E01016,Vodafone Idea Ltd.,Telecom - Services,135455386,20656.95,2.6
18,INE010B01027,Zydus Lifesciences Limited,Pharmaceuticals & Biotechnology,1801000,18012.7,2.26
19,INE159A01016,Glaxosmithkline Pharmaceuticals Ltd,Pharmaceuticals & Biotechnology,658000,17234.99,2.17
20,INE335Y01020,Indian Railway Catering & Tourism Corp,Leisure Services,1655000,16886.79,2.12
21,INE245A01021,Tata Power Company Limited,Power,3696250,16143.37,2.03
22,INE007A01025,CRISIL Limited,Finance,300621,12337.94,1.55
