SR,ISIN,NAME,INDUSTRY,QUANTITY,MARKET_VALUE,%_NAV
1,INE002A01018,Reliance Industries Limited,Petroleum Products,6624950,194376.03,9.64
2,INE758E01017,Jio Financial Services Limited,Finance,36441660,137385.06,6.81
3,INE821I01022,IRB Infrastructure Developers Limited,Construction,101303074,68886.09,3.42
4,INE531E01026,Hindustan Copper Limited,Non - Ferrous Metals,17711977,68368.23,3.39
5,INE976G01028,RBL Bank Limited,Banks,24278477,63196.88,3.13
6,INE00E101023,Bikaji Foods International Limited,Food Products,11253822,59965.99,2.97
7,INE139A01034,National Aluminium Company Limited,Non - Ferrous Metals,31260000,57909.15,2.87
8,INE208C01025,Aegis Logistics Limited,Gas,7835085,53842.7,2.67
9,INE034A01011,Arvind Limited,Textiles & Apparels,13371985,42128.44,2.09
10,INE160A01022,Punjab National Bank,Banks,27979000,39464.38,1.96
11,INE548A01028,HFCL Limited,Telecom - Services,37845780,38035.01,1.89
12,INE109A01011,Shipping Corporation Of India Limited,Transport Services,16176359,36760.78,1.82
13,INE599M01018,Just Dial Limited,Retailing,3170677,36564.25,1.81
14,INE463V01026,Anand Rathi Wealth Limited,Capital Markets,904197,36152.06,1.79
15,INE545A01016,HEG Limited,Industrial Products,1476211,34866.63,1.73
16,INE191A01027,Orchid Pharma Limited,Pharmaceuticals & Biotechnology,3047515,32872.02,1.63
17,INE0DD101019,Railtel Corporation Of India Limited,Telecom - Services,7960000,31808.16,1.58
18,INE228A01035,Usha Martin Limited,Industrial Products,8372871,31569.91,1.57
19,INE589A01014,NLC India Limited,Power,13000000,31505.5,1.56
20,INE467B01029,Tata Consultancy Services Limited,IT - Software,760000,29036.94,1.44
21,INE205C01021,Poly Medicure Limited,Healthcare Equipment & Supplies,1759115,28905.78,1.43
22,INE842C01021,Minda Corporation Ltd,Auto Components,6688077,27290.7,1.35
23,INE814H01011,Adani Power Limited,Power,4442192,27206.2,1.35
24,INE939A01011,Strides Pharma Science Ltd,Pharmaceuticals & Biotechnology,2840936,25456.21,1.26
25,INE614B01018,Karnataka Bank Ltd,Banks,10621233,24561.6,1.22
26,INE038A01020,Hindalco Industries Limited,Non - Ferrous Metals,3732400,24051.59,1.19
27,INE263M01029,KEYSTONE REALTORS LIMITED,Realty,3377704,23304.47,1.16
28,INE142Q01026,Sula Vineyards Limited,Beverages,4063718,22194,1.1
29,INE0J1Y01017,Life Insurance Corporation Of India,Insurance,2193682,21459.69,1.06
30,INE263A01024,Bharat Electronics Ltd,Aerospace & Defense,9154000,21397.48,1.06
31,INE371A01025,Graphite India Limited,Industrial Products,2891100,19553.95,0.97
32,INE510A01028,Engineers India Limited,Construction,7692017,18814.67,0.93
33,INE930P01018,Anupam Rasayan India Limited,Chemicals & Petrochemicals,2086516,17371.29,0.86
34,INE168A01041,The Jammu & Kashmir Bank Limited,Banks,12502259,17065.58,0.85
35,INE101D01020,Granules India Limited,Pharmaceuticals & Biotechnology,3907894,16542.12,0.82
36,INE886H01027,TV18 Broadcast Ltd,Entertainment,35795933,16501.93,0.82
37,INE126A01031,EID Parry (India) Ltd,Fertilizers & Agrochemicals,2662402,16466.96,0.82
38,INE119A01028,Balrampur Chini Mills Limited,Agricultural Food & other Products,3893000,15398.76,0.76
39,INE922K01024,INDIA SHELTER FIN CORP LTD,Finance,2577693,15258.65,0.76
40,INE780C01023,JM FINANCIAL LIMITED,Finance,16714161,14858.89,0.74
41,INE749A01030,Jindal Steel & Power Ltd,Ferrous Metals,1535000,14270.13,0.71
42,INE696F01016,Juniper Hotels Limited,Leisure Services,3037731,14128.49,0.7
43,INE07T201019,Restaurant Brands Asia Limited,Leisure Services,14000400,13986.4,0.69
44,INE807F01027,Sequent Scientific Limited,Pharmaceuticals & Biotechnology,11159398,13798.6,0.68
45,INE949H01023,Man Infraconstruction Limited,Construction,6030000,13085.1,0.65
46,INE031A01017,Housing & Urban Devlopment Company Ltd,Finance,5700000,12796.5,0.63
47,INE873D01024,INDOCO REMEDIES LIMITED,Pharmaceuticals & Biotechnology,3878685,12681.36,0.63
48,INE153T01027,BLS International Services Limited,Leisure Services,3150000,11040.75,0.55
49,INE019C01026,Himadri Speciality Chemical Limited,Chemicals & Petrochemicals,2834000,10627.5,0.53
50,INE229H01012,Nitin Spinners Limited,Textiles & Apparels,2730499,10195.68,0.51
51,INE421C01016,TVS Srichakra Limited,Auto Components,237471,9931.99,0.49
52,INE291A01017,Garware Hi-Tech Films Ltd,Industrial Products,537855,9618.73,0.48
53,INE0N2P01017,RISHABH INSTRUMENTS LIMITED,Electrical Equipment,1897034,9043.16,0.45
54,INE0AE001013,Vishnu Prakash R Punglia Limited,Construction,5087689,8308.2,0.41
55,INE039O01011,Jash Engineering Limited,Industrial Manufacturing,412817,8241.89,0.41
56,INE700A01033,Jubilant Pharmova Limited,Pharmaceuticals & Biotechnology,1197411,8072.94,0.4
57,INE725E01024,The Orissa Minerals Development Co Ltd,Minerals & Mining,107059,7376.37,0.37
58,INE988S01028,Apeejay Surrendra Park Hotels Limited,Leisure Services,3670000,7200.54,0.36
59,INE0I7C01011,Latent View Analytics Limited,IT - Software,1370000,6826.03,0.34
60,INE136S01016,Neogen Chemicals Limited,Chemicals & Petrochemicals,427577,6595.38,0.33
61,INE777F01014,Exicom Tele-Systems Limited,Electrical Equipment,2176283,6516.88,0.32
62,INE149K01016,Sandur Manganese & Iron Ores Ltd,Consumable Fuels,1223220,6347.9,0.31
63,INE0L9R01028,Gopal Snacks Limited,Food Products,1791672,5728.87,0.28
64,INE868B01028,NCC Ltd,Construction,2254278,5459.86,0.27
65,INE769A01020,Aarti Industries Ltd,Chemicals & Petrochemicals,731373,5424.96,0.27
66,INE364U01010,Adani Green Energy Limited,Power,265000,4763.77,0.24
67,INE634I01029,KNR Constructions Ltd,Construction,1779320,4727.65,0.23
68,INE751B01018,PIX Transmission Limited,Industrial Products,342581,4646.43,0.23
69,INE438K01021,Sai Silks (Kalamandir) Limited,Retailing,2095455,4296.73,0.21
70,INE075A01022,Wipro Ltd,IT - Software,900000,4161.6,0.21
71,INE825A01020,Vardhman Textiles Limited,Textiles & Apparels,835000,3720.34,0.18
72,INE0GSL01024,HP Adhesives Limited,Chemicals & Petrochemicals,3415685,3543.77,0.18
73,INE264T01014,Capacite Infraprojects Limited,Construction,1126624,3491.97,0.17
74,INE953L01027,Jana Small Finance Bank Ltd,Banks,553450,3322.64,0.16
75,INE052T01013,Best Agrolife Limited,Fertilizers & Agrochemicals,500000,3104,0.15
76,INE586B01026,Taj GVK Hotels & Resorts Limited,Leisure Services,828694,3095.17,0.15
77,INE340A01012,Birla Corporation Ltd,Cement & Cement Products,198186,2858.14,0.14
78,INE112L01020,Metropolis Healthcare Ltd,Healthcare Services,154363,2805.93,0.14
79,INE255A01020,EPL Limited,Industrial Products,1474620,2679.38,0.13
80,INE750A01020,Oriental Hotels Limited,Leisure Services,1816804,2410.9,0.12
81,INE962Y01021,Ircon International Limited,Construction,900000,2254.95,0.11
82,INE032B01021,Prime Securities Limited,Finance,1200000,2174.4,0.11
83,INE607A01022,PUNJAB ALKALIES AND CHEMICALS LTD,Chemicals & Petrochemicals,4556962,2114.89,0.1
84,INE855B01025,Rain Industries Limited,Chemicals & Petrochemicals,1200000,2094,0.1
85,INE323C01030,INDIAN HUME PIPE COMPANY LIMITED,Industrial Manufacturing,769177,2078.32,0.1
86,INE579C01029,Vimta Labs Limited,Healthcare Services,330152,1768.79,0.09
87,INE594H01019,Thyrocare Technologies Limited,Healthcare Services,216340,1395.28,0.07
