SR,ISIN,NAME,INDUSTRY,QUANTITY,MARKET_VALUE,%_NAV
1,INE002A01018,Reliance Industries Limited,Petroleum Products,7031950,201170.03,9.47
2,INE758E01017,Jio Financial Services Limited,Finance,36441660,125486.86,5.91
3,INE821I01022,IRB Infrastructure Developers Limited,Construction,121303074,80181.33,3.77
4,INE00E101023,Bikaji Foods International Limited,Food Products,11253822,66830.82,3.15
5,INE208C01025,Aegis Logistics Limited,Gas,9384254,66332.6,3.12
6,INE031A01017,Housing & Urban Devlopment Company Ltd,Finance,22407101,61350.64,2.89
7,INE976G01028,RBL Bank Limited,Banks,24278477,59652.22,2.81
8,INE139A01034,National Aluminium Company Limited,Non - Ferrous Metals,30260000,57993.29,2.73
9,INE034A01011,Arvind Limited,Textiles & Apparels,14133985,53334.59,2.51
10,INE814H01011,Adani Power Limited,Power,6483192,48999.97,2.31
11,INE040A01034,HDFC Bank Limited,Banks,3136000,48029.41,2.26
12,INE463V01026,Anand Rathi Wealth Limited,Capital Markets,1129197,47374.33,2.23
13,INE548A01028,HFCL Limited,Telecom - Services,42844580,44451.25,2.09
14,INE545A01016,HEG Limited,Industrial Products,1862211,42787.09,2.01
15,INE263M01029,KEYSTONE REALTORS LIMITED,Realty,6150431,42683.99,2.01
16,INE109A01011,Shipping Corporation Of India Limited,Transport Services,16826359,41342.36,1.95
17,INE0J1Y01017,Life Insurance Corporation Of India,Insurance,3543682,35886.87,1.69
18,INE191A01027,Orchid Pharma Limited,Pharmaceuticals & Biotechnology,3465947,34753.05,1.64
19,INE0DD101019,Railtel Corporation Of India Limited,Telecom - Services,7960000,32950.42,1.55
20,INE205C01021,Poly Medicure Limited,Healthcare Equipment & Supplies,1759115,31703.65,1.49
21,INE614B01018,Karnataka Bank Ltd,Banks,14754512,31618.92,1.49
22,INE228A01035,Usha Martin Limited,Industrial Products,8372871,30531.67,1.44
23,INE599M01018,Just Dial Limited,Retailing,3170677,29560.22,1.39
24,INE842C01021,Minda Corporation Ltd,Auto Components,6688077,28447.74,1.34
25,INE467B01029,Tata Consultancy Services Limited,IT - Software,760000,27899.22,1.31
26,INE510A01028,Engineers India Limited,Construction,10742017,26677.8,1.26
27,INE371A01025,Graphite India Limited,Industrial Products,4636100,26212.51,1.23
28,INE647O01011,Aditya Birla Fashion And Retail Ltd,Retailing,8675245,24954.34,1.17
29,INE939A01011,Strides Pharma Science Ltd,Pharmaceuticals & Biotechnology,2840936,24454.78,1.15
30,INE589A01014,NLC India Limited,Power,10238186,24213.31,1.14
31,INE142Q01026,Sula Vineyards Limited,Beverages,4193748,21895.56,1.03
32,INE700A01033,Jubilant Pharmova Limited,Pharmaceuticals & Biotechnology,3059145,21048.45,0.99
33,INE126A01031,EID Parry (India) Ltd,Fertilizers & Agrochemicals,2662402,17786.18,0.84
