"Index Name","Date","Open","High","Low","Close"
"NIFTY AUTO","31 May 2024","23613.4","23733.65","23314.05","23419.60"
"NIFTY AUTO","30 May 2024","23690.5","23767.25","23392.15","23471.00"
"NIFTY AUTO","29 May 2024","23670.55","23805.45","23566.05","23757.95"
"NIFTY AUTO","28 May 2024","23894.65","23978.45","23763.4","23814.25"
"NIFTY AUTO","27 May 2024","23972.4","23996.7","23696.35","23877.15"
"NIFTY AUTO","24 May 2024","23774.15","24038.6","23692.15","23891.45"
"NIFTY AUTO","23 May 2024","23368.55","23874.75","23252.2","23849.25"
"NIFTY AUTO","22 May 2024","23380.9","23400.25","23201.95","23324.10"
"NIFTY AUTO","21 May 2024","23322.95","23422.05","23215.45","23353.75"
"NIFTY AUTO","18 May 2024","23389.65","23400.05","23305.35","23339.30"
"NIFTY AUTO","17 May 2024","23045.65","23386.95","23039.4","23285.65"
"NIFTY AUTO","16 May 2024","22892.1","22943.8","22448.55","22886.85"
"NIFTY AUTO","15 May 2024","22930.6","22946.05","22681","22759.85"
"NIFTY AUTO","14 May 2024","22476.8","22894.7","22435.7","22874.80"
"NIFTY AUTO","13 May 2024","22725","22731","22127.9","22462.65"
"NIFTY AUTO","10 May 2024","22725.35","22898.3","22672.3","22846.90"
"NIFTY AUTO","09 May 2024","22501.9","22994.55","22492.6","22633.30"
"NIFTY AUTO","08 May 2024","22102.95","22512.55","21959.3","22458.65"
"NIFTY AUTO","07 May 2024","22582.35","22595.9","21996.65","22114.00"
"NIFTY AUTO","06 May 2024","22622.6","22654.9","22394.35","22526.60"
"NIFTY AUTO","03 May 2024","22870.55","22870.55","22342.6","22541.35"
"NIFTY AUTO","02 May 2024","22613.95","22776.9","22478.15","22733.50"
"NIFTY AUTO","30 Apr 2024","22184.8","22634.05","22181.1","22479.90"
"NIFTY AUTO","29 Apr 2024","22192.4","22259.65","21990.9","22078.75"
"NIFTY AUTO","26 Apr 2024","22219.3","22286.55","22081.1","22111.55"
"NIFTY AUTO","25 Apr 2024","21938.4","22221.6","21852.95","22174.05"
"NIFTY AUTO","24 Apr 2024","21963.8","22023.4","21869.25","21896.90"
"NIFTY AUTO","23 Apr 2024","21897.95","22006.25","21806.15","21914.30"
"NIFTY AUTO","22 Apr 2024","21846.05","21854.2","21653.75","21812.70"
"NIFTY AUTO","19 Apr 2024","21483.3","21637.1","21144.75","21609.70"
"NIFTY AUTO","18 Apr 2024","21790.75","21948.5","21459.05","21520.75"
"NIFTY AUTO","16 Apr 2024","21536.9","21845.1","21480.75","21703.05"
"NIFTY AUTO","15 Apr 2024","21623.6","21818.85","21445","21680.30"
"NIFTY AUTO","12 Apr 2024","21985.8","22076.2","21834.45","21851.30"
"NIFTY AUTO","10 Apr 2024","22081.45","22148.85","21920.80","21985.15"
"NIFTY AUTO","09 Apr 2024","22185.80","22238.25","21921.65","21999.35"
"NIFTY AUTO","08 Apr 2024","21662.15","22102.05","21642.90","22067.95"
"NIFTY AUTO","05 Apr 2024","21597.85","21651.35","21539.25","21600.90"
"NIFTY AUTO","04 Apr 2024","21672.70","21719.00","21404.85","21651.85"
