"Index Name","Date","Open","High","Low","Close"
"NIFTY ENERGY","31 May 2024","40210.25","40476.7","39922.25","40255.50"
"NIFTY ENERGY","30 May 2024","40471.2","40558","39801.9","39986.85"
"NIFTY ENERGY","29 May 2024","40471.15","40834","40410.6","40572.20"
"NIFTY ENERGY","28 May 2024","41445.75","41508.35","40705.45","40794.85"
"NIFTY ENERGY","27 May 2024","41842.65","41854.3","41114.2","41292.65"
"NIFTY ENERGY","24 May 2024","41536.6","41876.95","41413.25","41634.65"
"NIFTY ENERGY","23 May 2024","41318.45","41625.9","41088.5","41559.25"
"NIFTY ENERGY","22 May 2024","41204.4","41397.9","40946.9","41331.55"
"NIFTY ENERGY","21 May 2024","40307.7","41190.55","40305.4","40971.05"
"NIFTY ENERGY","18 May 2024","40480.1","40502.75","40397.75","40432.85"
"NIFTY ENERGY","17 May 2024","40118.85","40368.2","39976.05","40302.50"
"NIFTY ENERGY","16 May 2024","40122.6","40146.55","39422.85","40076.60"
"NIFTY ENERGY","15 May 2024","39617.2","40075.3","39563.95","39949.55"
"NIFTY ENERGY","14 May 2024","38939.5","39543.95","38924.2","39494.20"
"NIFTY ENERGY","13 May 2024","39092.9","39148.8","38132.75","38868.15"
"NIFTY ENERGY","10 May 2024","38687.25","39137.6","38504.4","39089.45"
"NIFTY ENERGY","09 May 2024","39622.1","39742.9","38367.65","38458.00"
"NIFTY ENERGY","08 May 2024","38911.4","39918.5","38911.4","39635.10"
"NIFTY ENERGY","07 May 2024","39976.1","40021.35","38916.85","39035.25"
"NIFTY ENERGY","06 May 2024","40689.9","40736.8","39702.65","39882.10"
"NIFTY ENERGY","03 May 2024","40973.75","41244.55","40122.15","40571.05"
"NIFTY ENERGY","02 May 2024","40490.75","40971.1","40383.85","40801.10"
"NIFTY ENERGY","30 Apr 2024","40537.2","40771.35","40311.35","40366.70"
"NIFTY ENERGY","29 Apr 2024","40116.35","40387.3","40059.6","40352.10"
"NIFTY ENERGY","26 Apr 2024","40111.2","40208.35","39902.85","39968.30"
"NIFTY ENERGY","25 Apr 2024","39520.35","40059.2","39459.05","39989.25"
"NIFTY ENERGY","24 Apr 2024","39585.25","39770.35","39498","39561.85"
"NIFTY ENERGY","23 Apr 2024","39721.55","39853","39392.05","39446.60"
"NIFTY ENERGY","22 Apr 2024","39712.25","39727.9","39458.6","39570.05"
"NIFTY ENERGY","19 Apr 2024","38987.55","39501.9","38726.85","39357.85"
"NIFTY ENERGY","18 Apr 2024","40094.95","40275.55","39244.5","39359.55"
"NIFTY ENERGY","16 Apr 2024","39426.7","39900.2","39298.25","39712.75"
"NIFTY ENERGY","15 Apr 2024","39232.9","40017","38876.9","39629.25"
"NIFTY ENERGY","12 Apr 2024","40058.6","40437.75","39714.3","39756.00"
"NIFTY ENERGY","10 Apr 2024","39785.70","40248.30","39785.70","40120.10"
"NIFTY ENERGY","09 Apr 2024","40065.80","40092.65","39602.65","39693.45"
"NIFTY ENERGY","08 Apr 2024","39649.20","40025.30","39637.45","39951.25"
"NIFTY ENERGY","05 Apr 2024","39534.55","39581.35","39157.40","39451.55"
"NIFTY ENERGY","04 Apr 2024","40023.80","40099.25","39270.70","39530.35"
"NIFTY ENERGY","03 Apr 2024","39679.80","39826.05","39562.35","39704.55"
"NIFTY ENERGY","02 Apr 2024","39503.50","39807.25","39405.70","39693.75"
"NIFTY ENERGY","01 Apr 2024","39322.55","39557.30","39227.85","39489.70"
"NIFTY ENERGY","28 Mar 2024","38803.30","39401.00","38803.30","39020.60"
"NIFTY ENERGY","27 Mar 2024","38629.90","39050.75","38599.80","38690.15"
"NIFTY ENERGY","26 Mar 2024","38096.45","38557.25","38058.90","38428.50"
"NIFTY ENERGY","22 Mar 2024","38314.05","38618.05","38107.95","38411.55"
"NIFTY ENERGY","21 Mar 2024","37984.05","38381.60","37961.40","38328.35"
"NIFTY ENERGY","20 Mar 2024","37391.50","37670.30","37058.90","37630.70"
"NIFTY ENERGY","19 Mar 2024","37592.40","37742.20","37053.85","37232.10"
"NIFTY ENERGY","18 Mar 2024","37497.25","37935.60","37284.50","37825.40"
"NIFTY ENERGY","15 Mar 2024","38042.80","38280.65","36854.95","37583.10"
"NIFTY ENERGY","14 Mar 2024","37417.90","38272.90","37261.85","38159.95"
"NIFTY ENERGY","13 Mar 2024","39628.60","39649.65","37209.95","37439.40"
"NIFTY ENERGY","12 Mar 2024","39863.25","39990.70","39539.10","39599.25"
"NIFTY ENERGY","11 Mar 2024","40251.40","40415.05","39761.90","39853.10"
"NIFTY ENERGY","07 Mar 2024","40475.70","40681.85","40182.80","40301.80"
"NIFTY ENERGY","06 Mar 2024","40558.70","40749.20","39747.40","40451.50"
"NIFTY ENERGY","05 Mar 2024","40468.95","40702.40","40264.20","40646.10"
"NIFTY ENERGY","04 Mar 2024","39927.05","40635.65","39895.55","40466.60"
"NIFTY ENERGY","02 Mar 2024","39792.75","39880.05","39626.75","39753.55"
"NIFTY ENERGY","01 Mar 2024","39059.05","39757.40","39050.10","39707.10"
"NIFTY ENERGY","29 Feb 2024","38911.45","39047.30","38567.65","38838.00"
"NIFTY ENERGY","28 Feb 2024","39624.90","39698.80","38652.35","38748.05"
"NIFTY ENERGY","27 Feb 2024","39617.75","39837.80","39461.55","39659.50"
"NIFTY ENERGY","26 Feb 2024","39590.70","39901.70","39414.90","39758.90"
"NIFTY ENERGY","23 Feb 2024","39696.40","39704.25","39375.35","39561.45"
"NIFTY ENERGY","22 Feb 2024","39388.60","39651.20","38723.30","39589.55"
"NIFTY ENERGY","21 Feb 2024","40067.65","40113.30","39133.45","39283.15"
