"Index Name","Date","Open","High","Low","Close"
"NIFTY FMCG","31 May 2024","54510.8","54588.7","53897.7","54107.35"
"NIFTY FMCG","30 May 2024","54776.5","54933.05","54095.25","54280.10"
"NIFTY FMCG","29 May 2024","54920.7","55254.7","54918.25","54974.25"
"NIFTY FMCG","28 May 2024","55328.7","55461.3","55136.55","55271.95"
"NIFTY FMCG","27 May 2024","55649.6","55708.7","55194.55","55260.50"
"NIFTY FMCG","24 May 2024","55847.25","55894.55","55369.55","55449.15"
"NIFTY FMCG","23 May 2024","55925.3","56062","55400.6","55899.00"
"NIFTY FMCG","22 May 2024","55154.9","55898.45","55067.8","55753.90"
"NIFTY FMCG","21 May 2024","54998.65","55139.55","54764.55","54969.25"
"NIFTY FMCG","18 May 2024","55212.1","55278.5","55114.05","55217.85"
"NIFTY FMCG","17 May 2024","55094.95","55136.6","54735.45","55064.70"
"NIFTY FMCG","16 May 2024","54757.3","55066.2","54159.35","54997.00"
"NIFTY FMCG","15 May 2024","55172","55292.35","54507.7","54555.95"
"NIFTY FMCG","14 May 2024","55320.35","55504.45","55011.75","55054.30"
"NIFTY FMCG","13 May 2024","55386.95","55525.9","54816.85","55340.70"
"NIFTY FMCG","10 May 2024","54739.25","55407.1","54601.75","55276.50"
"NIFTY FMCG","09 May 2024","55924.6","56020.35","54533.45","54625.10"
"NIFTY FMCG","08 May 2024","55704.3","56124.3","55569.7","56008.80"
"NIFTY FMCG","07 May 2024","54942.6","56222.75","54855.8","55765.55"
"NIFTY FMCG","06 May 2024","54544.15","54697.7","54149.5","54660.15"
"NIFTY FMCG","03 May 2024","54688.85","54702.55","53913.3","54273.90"
"NIFTY FMCG","02 May 2024","54155.15","54757.35","54154.9","54490.55"
"NIFTY FMCG","30 Apr 2024","54519.5","54670.3","54181.95","54240.60"
"NIFTY FMCG","29 Apr 2024","54527.15","54557.25","54125.5","54332.15"
"NIFTY FMCG","26 Apr 2024","54441.5","54601.6","54119.75","54300.75"
"NIFTY FMCG","25 Apr 2024","53998.45","54358.2","53642.05","54291.65"
"NIFTY FMCG","24 Apr 2024","53755.35","54033.95","53731.6","53932.50"
"NIFTY FMCG","23 Apr 2024","53622","54037.95","53523.45","53905.30"
"NIFTY FMCG","22 Apr 2024","53318.9","53594.6","53128.2","53499.45"
"NIFTY FMCG","19 Apr 2024","52530","53229.75","52398.75","53055.45"
"NIFTY FMCG","18 Apr 2024","53482.9","53571.75","52719.7","52825.50"
"NIFTY FMCG","16 Apr 2024","52996.55","53526.75","52937.25","53402.25"
"NIFTY FMCG","15 Apr 2024","53299.05","53475.15","52778.75","53174.95"
"NIFTY FMCG","12 Apr 2024","54244.45","54275.6","53653.45","53701.40"
"NIFTY FMCG","10 Apr 2024","53869.60","54370.50","53601.35","54290.90"
"NIFTY FMCG","09 Apr 2024","54081.10","54091.35","53552.65","53629.35"
"NIFTY FMCG","08 Apr 2024","54100.25","54228.90","53902.45","53966.05"
"NIFTY FMCG","05 Apr 2024","53718.20","54094.50","53569.65","53925.95"
"NIFTY FMCG","04 Apr 2024","54072.95","54116.00","53502.90","53634.45"
"NIFTY FMCG","03 Apr 2024","54056.20","54101.60","53522.90","53866.70"
"NIFTY FMCG","02 Apr 2024","54141.65","54141.65","53823.55","54096.95"
"NIFTY FMCG","01 Apr 2024","54078.20","54369.10","53828.10","53889.15"
"NIFTY FMCG","28 Mar 2024","53683.20","54251.00","53534.45","53949.20"
"NIFTY FMCG","27 Mar 2024","53737.95","53819.95","53491.10","53543.55"
"NIFTY FMCG","26 Mar 2024","53325.40","53784.00","53325.10","53687.70"
"NIFTY FMCG","22 Mar 2024","53312.90","53849.60","53305.05","53775.70"
"NIFTY FMCG","21 Mar 2024","53210.60","53423.60","52967.55","53338.35"
"NIFTY FMCG","20 Mar 2024","52726.50","53033.70","52562.60","52993.50"
"NIFTY FMCG","19 Mar 2024","53859.55","53915.10","52626.95","52740.90"
"NIFTY FMCG","18 Mar 2024","54144.30","54189.10","53805.85","53907.85"
"NIFTY FMCG","15 Mar 2024","54013.95","54464.95","53886.70","54155.45"
"NIFTY FMCG","14 Mar 2024","53504.40","54252.45","53280.20","54145.80"
