"Index Name","Date","Open","High","Low","Close"
"NIFTY METAL","31 May 2024","9631.5","9783.8","9574.05","9723.60"
"NIFTY METAL","30 May 2024","9800.45","9808.55","9517.4","9545.25"
"NIFTY METAL","29 May 2024","9830.8","9927.85","9763.8","9841.20"
"NIFTY METAL","28 May 2024","9910.65","9996.85","9788.05","9815.05"
"NIFTY METAL","27 May 2024","9997.75","10022.55","9847.4","9866.40"
"NIFTY METAL","24 May 2024","9966.1","10060.25","9907.2","9928.40"
"NIFTY METAL","23 May 2024","9872.8","9977.6","9738.35","9959.45"
"NIFTY METAL","22 May 2024","10051.7","10051.7","9845.5","9919.45"
"NIFTY METAL","21 May 2024","9671.45","10002.3","9645.3","9981.15"
"NIFTY METAL","18 May 2024","9586.4","9633.3","9568.05","9608.80"
"NIFTY METAL","17 May 2024","9422.2","9582.5","9403.15","9557.95"
"NIFTY METAL","16 May 2024","9423.45","9465.85","9262","9405.40"
"NIFTY METAL","15 May 2024","9389.4","9492.5","9361.3","9376.90"
"NIFTY METAL","14 May 2024","9148.75","9373.95","9135.5","9347.15"
"NIFTY METAL","13 May 2024","8970.6","9106.7","8789.95","9094.80"
"NIFTY METAL","10 May 2024","8886.25","8990.7","8807.85","8977.45"
"NIFTY METAL","09 May 2024","9117.35","9140.3","8816.9","8841.25"
"NIFTY METAL","08 May 2024","8940.35","9130.6","8931","9102.35"
"NIFTY METAL","07 May 2024","9223.25","9223.8","8897.55","8969.90"
"NIFTY METAL","06 May 2024","9326.25","9338.25","9078.25","9189.75"
"NIFTY METAL","03 May 2024","9352.9","9401.55","9170.3","9276.30"
"NIFTY METAL","02 May 2024","9186.55","9341.4","9177.6","9279.55"
"NIFTY METAL","30 Apr 2024","9326.6","9327.55","9162.2","9175.80"
"NIFTY METAL","29 Apr 2024","9320.3","9323.05","9217.7","9268.80"
"NIFTY METAL","26 Apr 2024","9283.65","9377.1","9212.2","9222.65"
"NIFTY METAL","25 Apr 2024","9135.85","9253.85","9063.5","9242.00"
"NIFTY METAL","24 Apr 2024","8932.1","9158.4","8920.8","9140.10"
"NIFTY METAL","23 Apr 2024","8972.7","8972.85","8879.45","8900.45"
