"Index Name","Date","Open","High","Low","Close"
"NIFTY PHARMA","31 May 2024","19015.5","19067.15","18732.35","18796.30"
"NIFTY PHARMA","30 May 2024","19274.35","19287.75","18910.8","18971.00"
"NIFTY PHARMA","29 May 2024","19208.5","19415","19150.2","19321.35"
"NIFTY PHARMA","28 May 2024","19171.3","19341.8","19131.2","19215.75"
"NIFTY PHARMA","27 May 2024","19258.15","19313.4","19070.05","19111.95"
"NIFTY PHARMA","24 May 2024","19252.15","19256.85","19094.35","19119.50"
"NIFTY PHARMA","23 May 2024","19285.45","19285.45","18994.3","19216.35"
"NIFTY PHARMA","22 May 2024","19305.9","19422.2","19051.55","19317.40"
"NIFTY PHARMA","21 May 2024","19080.5","19280.55","19021.55","19205.20"
"NIFTY PHARMA","18 May 2024","19057.45","19155.4","19054.5","19108.00"
"NIFTY PHARMA","17 May 2024","19028.5","19039.65","18933.55","18981.60"
"NIFTY PHARMA","16 May 2024","18961.4","19024.35","18727.25","18996.15"
"NIFTY PHARMA","15 May 2024","18952","19032.85","18857.55","18886.55"
"NIFTY PHARMA","14 May 2024","18956.75","18978.75","18795.15","18860.85"
"NIFTY PHARMA","13 May 2024","18680.1","18971.75","18638.6","18939.00"
"NIFTY PHARMA","10 May 2024","18469.6","18699.85","18449.7","18609.45"
"NIFTY PHARMA","09 May 2024","18870.15","18920.3","18406.65","18437.05"
"NIFTY PHARMA","08 May 2024","18739.95","18885.55","18613.45","18850.85"
"NIFTY PHARMA","07 May 2024","19264.95","19270","18703.85","18846.30"
"NIFTY PHARMA","06 May 2024","19193.9","19228.3","18969.5","19203.30"
"NIFTY PHARMA","03 May 2024","19203.85","19267.15","19057.3","19133.40"
"NIFTY PHARMA","02 May 2024","18991.55","19182.4","18990.45","19124.45"
"NIFTY PHARMA","30 Apr 2024","19168.8","19222.3","18938.85","18970.60"
"NIFTY PHARMA","29 Apr 2024","19096.7","19153.2","18998.05","19096.90"
"NIFTY PHARMA","26 Apr 2024","18937.55","19056.7","18891.5","18994.65"
"NIFTY PHARMA","25 Apr 2024","18631.85","18907.45","18605.1","18878.15"
"NIFTY PHARMA","24 Apr 2024","18508.9","18643.15","18490.5","18586.20"
"NIFTY PHARMA","23 Apr 2024","18781.75","18788.6","18444.9","18463.75"
"NIFTY PHARMA","22 Apr 2024","18512.45","18691.65","18500.1","18643.00"
"NIFTY PHARMA","19 Apr 2024","18413.5","18470.45","18298.25","18404.60"
"NIFTY PHARMA","18 Apr 2024","18790.4","18815.6","18479.2","18525.75"
"NIFTY PHARMA","16 Apr 2024","18571.9","18726.75","18525.8","18695.60"
"NIFTY PHARMA","15 Apr 2024","18613.75","18685.4","18545.55","18617.65"
"NIFTY PHARMA","12 Apr 2024","19068.2","19113.55","18765.8","18788.65"
"NIFTY PHARMA","10 Apr 2024","19210.20","19225.40","19070.25","19117.00"
"NIFTY PHARMA","09 Apr 2024","19275.85","19286.00","19138.20","19182.30"
"NIFTY PHARMA","08 Apr 2024","19246.50","19288.45","19138.20","19218.85"
"NIFTY PHARMA","05 Apr 2024","19084.20","19395.55","19076.60","19160.75"
"NIFTY PHARMA","04 Apr 2024","19220.70","19222.00","18952.65","19125.20"
"NIFTY PHARMA","03 Apr 2024","19172.70","19272.65","19058.40","19153.05"
"NIFTY PHARMA","02 Apr 2024","19235.15","19237.75","19124.55","19185.15"
"NIFTY PHARMA","01 Apr 2024","19147.50","19234.20","19091.55","19207.90"
"NIFTY PHARMA","28 Mar 2024","18824.20","19082.05","18773.95","18996.15"
"NIFTY PHARMA","27 Mar 2024","18880.95","18913.15","18729.75","18768.40"
"NIFTY PHARMA","26 Mar 2024","18690.10","18890.30","18684.80","18809.45"
"NIFTY PHARMA","22 Mar 2024","18594.75","18881.25","18583.75","18815.60"
"NIFTY PHARMA","21 Mar 2024","18494.00","18611.55","18366.85","18582.60"
"NIFTY PHARMA","20 Mar 2024","18463.10","18497.65","18189.95","18361.40"
"NIFTY PHARMA","19 Mar 2024","18820.85","18833.35","18370.30","18405.65"
"NIFTY PHARMA","18 Mar 2024","18713.40","18851.70","18637.35","18814.35"
"NIFTY PHARMA","15 Mar 2024","18876.80","18916.20","18588.85","18718.45"
"NIFTY PHARMA","14 Mar 2024","18632.05","18919.60","18517.60","18897.10"
"NIFTY PHARMA","13 Mar 2024","18961.20","19022.20","18495.00","18635.70"
"NIFTY PHARMA","12 Mar 2024","19219.30","19322.55","18910.65","18958.70"
"NIFTY PHARMA","11 Mar 2024","19313.20","19397.25","19173.80","19202.05"
"NIFTY PHARMA","07 Mar 2024","19158.15","19277.70","19123.10","19194.10"
"NIFTY PHARMA","06 Mar 2024","19022.90","19172.35","18811.30","19140.00"
"NIFTY PHARMA","05 Mar 2024","18965.25","19033.00","18833.85","19018.50"
"NIFTY PHARMA","04 Mar 2024","18933.90","19158.70","18933.70","18960.20"
"NIFTY PHARMA","02 Mar 2024","18946.60","18984.90","18836.00","18905.55"
"NIFTY PHARMA","01 Mar 2024","19058.00","19060.45","18796.90","18822.30"
"NIFTY PHARMA","29 Feb 2024","18930.65","19056.45","18761.25","19003.15"
"NIFTY PHARMA","28 Feb 2024","19094.40","19112.05","18874.55","18942.55"
"NIFTY PHARMA","27 Feb 2024","18946.45","19075.85","18897.45","19064.20"
"NIFTY PHARMA","26 Feb 2024","19065.05","19119.30","18797.25","18956.45"
"NIFTY PHARMA","23 Feb 2024","18984.95","19134.80","18957.75","19048.40"
"NIFTY PHARMA","22 Feb 2024","18999.85","19002.85","18755.65","18969.45"
"NIFTY PHARMA","21 Feb 2024","19015.75","19061.35","18830.10","18916.45"
"NIFTY PHARMA","20 Feb 2024","19059.55","19076.80","18802.20","18993.00"
"NIFTY PHARMA","19 Feb 2024","18938.70","19079.30","18897.20","19037.70"
"NIFTY PHARMA","16 Feb 2024","18648.50","18958.85","18621.00","18870.80"
"NIFTY PHARMA","15 Feb 2024","18627.70","18694.25","18516.25","18567.70"
"NIFTY PHARMA","14 Feb 2024","18714.45","18715.70","18398.30","18584.35"
"NIFTY PHARMA","13 Feb 2024","18705.15","18780.05","18619.35","18753.95"
"NIFTY PHARMA","12 Feb 2024","18685.65","18850.30","18605.20","18669.55"
"NIFTY PHARMA","09 Feb 2024","18569.15","18666.20","18391.20","18617.10"
"NIFTY PHARMA","08 Feb 2024","18716.75","18729.65","18493.55","18520.30"
"NIFTY PHARMA","07 Feb 2024","18597.85","18640.80","18440.65","18564.85"
"NIFTY PHARMA","06 Feb 2024","18301.30","18533.70","18286.90","18488.05"
"NIFTY PHARMA","05 Feb 2024","18034.20","18379.80","17979.55","18292.95"
"NIFTY PHARMA","02 Feb 2024","17885.35","18084.70","17884.70","17972.10"
"NIFTY PHARMA","01 Feb 2024","18004.60","18053.10","17734.75","17839.20"
"NIFTY PHARMA","31 Jan 2024","17463.30","18003.15","17451.25","17938.65"
"NIFTY PHARMA","30 Jan 2024","17674.00","17750.50","17452.70","17470.15"
"NIFTY PHARMA","29 Jan 2024","17511.35","17676.90","17432.45","17623.60"
"NIFTY PHARMA","25 Jan 2024","17721.05","17738.90","17438.90","17532.55"
"NIFTY PHARMA","24 Jan 2024","17557.05","17796.00","17431.60","17763.70"
"NIFTY PHARMA","23 Jan 2024","17361.95","17689.95","17347.35","17520.30"
"NIFTY PHARMA","20 Jan 2024","17454.30","17481.65","17212.75","17233.80"
"NIFTY PHARMA","19 Jan 2024","17416.45","17460.55","17308.10","17388.00"
"NIFTY PHARMA","18 Jan 2024","17128.35","17382.35","16818.70","17331.25"
"NIFTY PHARMA","17 Jan 2024","17285.35","17319.70","17130.45","17154.00"
"NIFTY PHARMA","16 Jan 2024","17526.95","17531.85","17235.70","17320.15"
"NIFTY PHARMA","15 Jan 2024","17423.25","17603.85","17334.15","17520.45"
"NIFTY PHARMA","12 Jan 2024","17427.00","17430.15","17271.40","17347.45"
"NIFTY PHARMA","11 Jan 2024","17449.40","17470.75","17331.15","17380.55"
"NIFTY PHARMA","10 Jan 2024","17401.05","17476.00","17271.65","17401.90"
"NIFTY PHARMA","09 Jan 2024","17319.25","17414.80","17240.35","17346.30"
"NIFTY PHARMA","08 Jan 2024","17435.80","17438.45","17162.00","17195.95"
"NIFTY PHARMA","05 Jan 2024","17483.50","17484.60","17241.10","17358.60"
"NIFTY PHARMA","04 Jan 2024","17426.50","17529.85","17326.75","17413.20"
"NIFTY PHARMA","03 Jan 2024","17311.85","17423.45","17241.05","17379.80"
"NIFTY PHARMA","02 Jan 2024","16903.95","17301.40","16878.50","17274.30"
"NIFTY PHARMA","01 Jan 2024","16859.50","16914.10","16819.00","16858.75"
"NIFTY PHARMA","29 Dec 2023","16878.95","16909.10","16769.50","16831.80"
"NIFTY PHARMA","28 Dec 2023","16698.10","16894.10","16617.35","16860.85"
"NIFTY PHARMA","27 Dec 2023","16609.00","16690.90","16530.45","16655.95"
"NIFTY PHARMA","26 Dec 2023","16418.60","16580.65","16385.70","16562.60"
"NIFTY PHARMA","22 Dec 2023","16312.50","16500.90","16281.45","16394.35"
"NIFTY PHARMA","21 Dec 2023","16048.40","16278.20","15868.15","16238.15"
"NIFTY PHARMA","20 Dec 2023","16461.75","16467.80","16086.00","16121.25"
"NIFTY PHARMA","19 Dec 2023","16407.80","16433.80","16228.30","16391.25"
"NIFTY PHARMA","18 Dec 2023","16196.40","16438.75","16161.60","16332.15"
"NIFTY PHARMA","15 Dec 2023","16250.90","16258.30","16150.50","16179.80"
"NIFTY PHARMA","14 Dec 2023","16202.30","16210.70","16089.75","16155.70"
"NIFTY PHARMA","13 Dec 2023","15986.85","16168.55","15938.75","16142.40"
"NIFTY PHARMA","12 Dec 2023","16109.80","16167.95","15914.30","15963.50"
"NIFTY PHARMA","11 Dec 2023","16077.90","16089.95","15909.55","16039.90"
"NIFTY PHARMA","08 Dec 2023","16311.05","16365.60","16079.30","16163.15"
"NIFTY PHARMA","07 Dec 2023","16163.30","16305.90","16137.50","16294.20"
"NIFTY PHARMA","06 Dec 2023","16297.40","16356.65","16106.95","16169.55"
"NIFTY PHARMA","05 Dec 2023","16248.20","16304.80","16174.15","16229.65"
"NIFTY PHARMA","04 Dec 2023","16372.05","16389.10","16183.05","16228.40"
"NIFTY PHARMA","01 Dec 2023","16298.95","16385.35","16222.85","16257.05"
"NIFTY PHARMA","30 Nov 2023","15973.20","16279.10","15971.75","16238.90"
"NIFTY PHARMA","29 Nov 2023","15952.50","16016.60","15903.75","15990.10"
"NIFTY PHARMA","28 Nov 2023","15980.80","16006.50","15884.35","15900.30"
"NIFTY PHARMA","24 Nov 2023","15884.70","16046.75","15880.90","15954.50"
"NIFTY PHARMA","23 Nov 2023","16092.45","16094.55","15792.00","15817.45"
"NIFTY PHARMA","22 Nov 2023","16008.90","16175.25","15987.10","16069.80"
"NIFTY PHARMA","21 Nov 2023","15849.95","15997.60","15814.65","15968.90"
"NIFTY PHARMA","20 Nov 2023","15809.45","15950.80","15782.95","15806.75"
