Close,Date
15.805,02-Feb-15
15.949,03-Feb-15
16.121,04-Feb-15
15.911,05-Feb-15
15.765,06-Feb-15
15.54,09-Feb-15
15.487,10-Feb-15
15.554,11-Feb-15
15.74,12-Feb-15
15.795,13-Feb-15
15.79,16-Feb-15
15.839,18-Feb-15
15.869,19-Feb-15
15.973,20-Feb-15
15.907,23-Feb-15
15.83,24-Feb-15
15.789,25-Feb-15
15.626,26-Feb-15
15.849,27-Feb-15
16.052,02-Mar-15
16.107,03-Mar-15
16.059,04-Mar-15
16.056,05-Mar-15
16.114,09-Mar-15
16.317,10-Mar-15
16.265,11-Mar-15
16.329,12-Mar-15
16.209,13-Mar-15
16.092,16-Mar-15
16.07,17-Mar-15
16.084,18-Mar-15
15.965,19-Mar-15
15.908,20-Mar-15
15.771,23-Mar-15
15.613,24-Mar-15
15.623,25-Mar-15
15.518,26-Mar-15
15.596,27-Mar-15
15.818,30-Mar-15
15.953,31-Mar-15
16.021,01-Apr-15
16.042,06-Apr-15
16.069,07-Apr-15
16.208,08-Apr-15
16.154,09-Apr-15
16.104,10-Apr-15
16.126,13-Apr-15
16.043,15-Apr-15
15.967,16-Apr-15
15.78,17-Apr-15
15.529,20-Apr-15
15.491,21-Apr-15
15.543,22-Apr-15
15.461,23-Apr-15
15.136,24-Apr-15
14.957,27-Apr-15
15.096,28-Apr-15
15.188,29-Apr-15
15.062,30-Apr-15
15.236,04-May-15
15.274,05-May-15
14.974,06-May-15
14.883,07-May-15
15.05,08-May-15
15.209,11-May-15
15.045,12-May-15
15.262,13-May-15
15.371,14-May-15
15.432,15-May-15
15.483,18-May-15
15.505,19-May-15
15.571,20-May-15
15.523,21-May-15
15.549,22-May-15
15.509,25-May-15
15.478,26-May-15
15.426,27-May-15
15.25,28-May-15
15.599,29-May-15
15.674,01-Jun-15
15.487,02-Jun-15
15.369,03-Jun-15
15.36,04-Jun-15
15.396,05-Jun-15
15.237,08-Jun-15
15.175,09-Jun-15
15.263,10-Jun-15
15.093,11-Jun-15
15.115,12-Jun-15
15.05,15-Jun-15
14.989,16-Jun-15
15.239,17-Jun-15
15.31,18-Jun-15
15.336,19-Jun-15
15.453,22-Jun-15
15.574,23-Jun-15
15.532,24-Jun-15
15.591,25-Jun-15
15.589,26-Jun-15
15.552,29-Jun-15
15.733,30-Jun-15
16.027,01-Jul-15
16.058,02-Jul-15
16.113,03-Jul-15
16.095,06-Jul-15
16.192,07-Jul-15
16.1,08-Jul-15
16.112,09-Jul-15
16.025,10-Jul-15
16.119,13-Jul-15
16.113,14-Jul-15
16.135,15-Jul-15
16.283,16-Jul-15
16.327,17-Jul-15
16.412,20-Jul-15
16.233,21-Jul-15
16.232,22-Jul-15
16.283,23-Jul-15
16.192,24-Jul-15
15.96,27-Jul-15
15.9,28-Jul-15
16.063,29-Jul-15
16.217,30-Jul-15
16.485,31-Jul-15
16.58,03-Aug-15
16.586,04-Aug-15
16.614,05-Aug-15
16.821,06-Aug-15
16.703,07-Aug-15
16.632,10-Aug-15
16.386,11-Aug-15
16.038,12-Aug-15
16.027,13-Aug-15
16.219,14-Aug-15
16.181,17-Aug-15
16.251,18-Aug-15
16.381,19-Aug-15
16.173,20-Aug-15
16.059,21-Aug-15
15.157,24-Aug-15
15.124,25-Aug-15
15.042,26-Aug-15
15.376,27-Aug-15
15.582,28-Aug-15
15.339,31-Aug-15
15.176,01-Sep-15
15.13,02-Sep-15
15.26,03-Sep-15
15.065,04-Sep-15
14.882,07-Sep-15
14.979,08-Sep-15
15.271,09-Sep-15
15.355,10-Sep-15
15.498,11-Sep-15
15.594,14-Sep-15
15.48,15-Sep-15
15.54,16-Sep-15
15.972,18-Sep-15
16.006,21-Sep-15
15.662,22-Sep-15
15.476,23-Sep-15
15.396,24-Sep-15
15.309,28-Sep-15
15.214,29-Sep-15
15.507,30-Sep-15
15.597,01-Oct-15
15.895,05-Oct-15
15.875,06-Oct-15
15.843,07-Oct-15
15.804,08-Oct-15
15.804,09-Oct-15
15.832,12-Oct-15
15.799,13-Oct-15
15.806,14-Oct-15
15.887,15-Oct-15
15.897,16-Oct-15
15.979,19-Oct-15
16.065,20-Oct-15
16.02,21-Oct-15
15.926,23-Oct-15
15.932,26-Oct-15
15.888,27-Oct-15
15.818,28-Oct-15
15.793,29-Oct-15
15.639,30-Oct-15
15.609,02-Nov-15
15.611,03-Nov-15
15.54,04-Nov-15
15.362,05-Nov-15
15.313,06-Nov-15
15.253,09-Nov-15
15.135,10-Nov-15
15.043,13-Nov-15
15.001,16-Nov-15
14.994,17-Nov-15
14.972,18-Nov-15
15.137,19-Nov-15
15.25,20-Nov-15
15.229,23-Nov-15
15.25,24-Nov-15
15.232,26-Nov-15
15.273,27-Nov-15
15.255,30-Nov-15
15.255,01-Dec-15
15.241,02-Dec-15
15.182,03-Dec-15
15.196,04-Dec-15
15.197,07-Dec-15
15.079,08-Dec-15
14.826,09-Dec-15
14.888,10-Dec-15
14.819,11-Dec-15
14.811,14-Dec-15
14.841,15-Dec-15
14.926,16-Dec-15
15.081,17-Dec-15
15.03,18-Dec-15
15.171,21-Dec-15
15.116,22-Dec-15
15.226,23-Dec-15
15.291,24-Dec-15
15.328,28-Dec-15
15.329,29-Dec-15
15.317,30-Dec-15
15.473,31-Dec-15
15.539,01-Jan-16
15.245,04-Jan-16
15.284,05-Jan-16
15.232,06-Jan-16
14.914,07-Jan-16
15.007,08-Jan-16
14.978,11-Jan-16
14.818,12-Jan-16
14.71,13-Jan-16
14.573,14-Jan-16
14.371,15-Jan-16
14.112,18-Jan-16
14.245,19-Jan-16
14.082,20-Jan-16
14.032,21-Jan-16
14.201,22-Jan-16
14.259,25-Jan-16
14.356,27-Jan-16
14.257,28-Jan-16
14.41,29-Jan-16
14.454,01-Feb-16
14.34,02-Feb-16
14.125,03-Feb-16
14.201,04-Feb-16
14.289,05-Feb-16
14.235,08-Feb-16
14.124,09-Feb-16
14.065,10-Feb-16
13.755,11-Feb-16
13.674,12-Feb-16
14.038,15-Feb-16
13.878,16-Feb-16
13.895,17-Feb-16
14.068,18-Feb-16
14.041,19-Feb-16
14.101,22-Feb-16
13.896,23-Feb-16
13.786,24-Feb-16
13.668,25-Feb-16
13.732,26-Feb-16
13.64,29-Feb-16
14.028,01-Mar-16
14.285,02-Mar-16
14.517,03-Mar-16
14.496,04-Mar-16
14.51,08-Mar-16
14.553,09-Mar-16
14.494,10-Mar-16
14.5,11-Mar-16
14.603,14-Mar-16
14.499,15-Mar-16
14.512,16-Mar-16
14.698,17-Mar-16
14.898,18-Mar-16
15.175,21-Mar-16
15.239,22-Mar-16
15.265,23-Mar-16
15.129,28-Mar-16
15.027,29-Mar-16
15.22,30-Mar-16
15.283,31-Mar-16
15.234,01-Apr-16
15.275,04-Apr-16
15.041,05-Apr-16
15.235,06-Apr-16
15.131,07-Apr-16
15.226,08-Apr-16
15.326,11-Apr-16
15.477,12-Apr-16
15.662,13-Apr-16
15.855,18-Apr-16
15.988,20-Apr-16
15.828,21-Apr-16
15.784,22-Apr-16
15.735,25-Apr-16
15.835,26-Apr-16
15.946,27-Apr-16
15.814,28-Apr-16
15.763,29-Apr-16
15.79,02-May-16
15.782,03-May-16
15.607,04-May-16
15.538,05-May-16
15.554,06-May-16
15.683,09-May-16
15.711,10-May-16
15.722,11-May-16
15.801,12-May-16
15.722,13-May-16
15.711,16-May-16
15.75,17-May-16
15.838,18-May-16
15.707,19-May-16
15.512,20-May-16
15.497,23-May-16
15.513,24-May-16
15.662,25-May-16
15.841,26-May-16
15.928,27-May-16
15.993,30-May-16
15.986,31-May-16
15.983,01-Jun-16
16.135,02-Jun-16
16.077,03-Jun-16
16.094,06-Jun-16
16.271,07-Jun-16
16.387,08-Jun-16
16.296,09-Jun-16
16.294,10-Jun-16
16.22,13-Jun-16
16.245,14-Jun-16
16.403,15-Jun-16
16.295,16-Jun-16
16.351,17-Jun-16
16.411,20-Jun-16
16.404,21-Jun-16
16.386,22-Jun-16
16.514,23-Jun-16
16.344,24-Jun-16
16.457,27-Jun-16
16.56,28-Jun-16
16.834,29-Jun-16
16.997,30-Jun-16
17.159,01-Jul-16
17.208,04-Jul-16
17.131,05-Jul-16
17.211,07-Jul-16
17.171,08-Jul-16
17.326,11-Jul-16
17.275,12-Jul-16
17.184,13-Jul-16
17.317,14-Jul-16
17.332,15-Jul-16
17.253,18-Jul-16
17.354,19-Jul-16
17.438,20-Jul-16
17.462,21-Jul-16
17.516,22-Jul-16
17.53,25-Jul-16
17.448,26-Jul-16
17.501,27-Jul-16
17.536,28-Jul-16
17.533,29-Jul-16
17.508,01-Aug-16
17.526,02-Aug-16
17.363,03-Aug-16
17.434,04-Aug-16
17.677,05-Aug-16
17.775,08-Aug-16
17.744,09-Aug-16
17.571,10-Aug-16
17.601,11-Aug-16
17.685,12-Aug-16
17.772,16-Aug-16
17.77,17-Aug-16
17.988,18-Aug-16
18.008,19-Aug-16
17.977,22-Aug-16
17.892,23-Aug-16
17.989,24-Aug-16
17.904,25-Aug-16
17.859,26-Aug-16
17.943,29-Aug-16
18.108,30-Aug-16
18.291,31-Aug-16
18.154,01-Sep-16
18.182,02-Sep-16
18.347,06-Sep-16
18.361,07-Sep-16
18.453,08-Sep-16
18.262,09-Sep-16
17.863,12-Sep-16
17.97,14-Sep-16
17.936,15-Sep-16
18.018,16-Sep-16
18.12,19-Sep-16
18.065,20-Sep-16
18.11,21-Sep-16
18.364,22-Sep-16
18.326,23-Sep-16
18.178,26-Sep-16
18.206,27-Sep-16
18.395,28-Sep-16
18.108,29-Sep-16
18.214,30-Sep-16
18.584,03-Oct-16
18.75,04-Oct-16
18.84,05-Oct-16
18.808,06-Oct-16
18.779,07-Oct-16
18.749,10-Oct-16
18.546,13-Oct-16
18.599,14-Oct-16
18.488,17-Oct-16
18.64,18-Oct-16
18.627,19-Oct-16
18.606,20-Oct-16
18.602,21-Oct-16
18.562,24-Oct-16
18.552,25-Oct-16
18.479,26-Oct-16
18.368,27-Oct-16
18.47,28-Oct-16
18.583,01-Nov-16
18.435,02-Nov-16
18.33,03-Nov-16
18.172,04-Nov-16
18.186,07-Nov-16
18.338,08-Nov-16
18.003,09-Nov-16
18.223,10-Nov-16
17.849,11-Nov-16
17.304,15-Nov-16
17.271,16-Nov-16
17.182,17-Nov-16
17.205,18-Nov-16
16.837,21-Nov-16
16.994,22-Nov-16
17.002,23-Nov-16
17.034,24-Nov-16
17.244,25-Nov-16
17.39,28-Nov-16
17.479,29-Nov-16
17.599,30-Nov-16
17.41,01-Dec-16
17.284,02-Dec-16
17.322,05-Dec-16
17.409,06-Dec-16
17.325,07-Dec-16
17.482,08-Dec-16
17.539,09-Dec-16
17.398,12-Dec-16
17.315,13-Dec-16
17.245,14-Dec-16
17.261,15-Dec-16
17.186,16-Dec-16
17.045,19-Dec-16
16.956,20-Dec-16
16.995,21-Dec-16
16.755,22-Dec-16
16.792,23-Dec-16
16.674,26-Dec-16
16.798,27-Dec-16
16.835,28-Dec-16
16.934,29-Dec-16
17.192,30-Dec-16
17.333,02-Jan-17
17.438,03-Jan-17
17.444,04-Jan-17
17.637,05-Jan-17
17.521,06-Jan-17
17.512,09-Jan-17
17.595,10-Jan-17
17.82,11-Jan-17
17.897,12-Jan-17
17.823,13-Jan-17
17.792,16-Jan-17
17.849,17-Jan-17
17.949,18-Jan-17
17.99,19-Jan-17
17.887,20-Jan-17
17.893,23-Jan-17
18.143,24-Jan-17
18.205,25-Jan-17
18.35,27-Jan-17
18.327,30-Jan-17
18.206,31-Jan-17
18.5,01-Feb-17
18.547,02-Feb-17
18.717,03-Feb-17
18.968,06-Feb-17
18.961,07-Feb-17
19.008,08-Feb-17
19.101,09-Feb-17
19.105,10-Feb-17
19.036,13-Feb-17
18.96,14-Feb-17
18.863,15-Feb-17
18.993,16-Feb-17
