"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 150","05 Jul 2024","21246.25","21369.05","21185.8","21352.50"
"NIFTY MIDCAP 150","04 Jul 2024","21162.65","21238.95","21093.5","21215.30"
"NIFTY MIDCAP 150","03 Jul 2024","21021.1","21105.2","20966.8","21072.75"
"NIFTY MIDCAP 150","02 Jul 2024","21105.7","21117.85","20792.65","20909.90"
"NIFTY MIDCAP 150","01 Jul 2024","20898.35","21045.05","20851.2","21029.90"
"NIFTY MIDCAP 150","28 Jun 2024","20788.2","20893.9","20774.65","20831.95"
"NIFTY MIDCAP 150","27 Jun 2024","20729.75","20850.8","20574.7","20723.15"
"NIFTY MIDCAP 150","26 Jun 2024","20763.65","20789.75","20657.55","20680.70"
"NIFTY MIDCAP 150","25 Jun 2024","20855.2","20922.9","20697.9","20734.55"
"NIFTY MIDCAP 150","24 Jun 2024","20700.2","20831.75","20550","20784.00"
"NIFTY MIDCAP 150","21 Jun 2024","20863.1","20890.7","20696.75","20735.25"
"NIFTY MIDCAP 150","20 Jun 2024","20671.5","20780.6","20558.2","20766.70"
"NIFTY MIDCAP 150","19 Jun 2024","20879.95","20880.05","20504.05","20591.65"
"NIFTY MIDCAP 150","18 Jun 2024","20784.4","20825.4","20701","20809.75"
"NIFTY MIDCAP 150","14 Jun 2024","20547.85","20710.2","20490.4","20698.25"
"NIFTY MIDCAP 150","13 Jun 2024","20473.55","20520.85","20373.3","20480.05"
"NIFTY MIDCAP 150","12 Jun 2024","20204.35","20338.85","20192.35","20321.20"
"NIFTY MIDCAP 150","11 Jun 2024","20042.45","20201","19987.8","20119.55"
"NIFTY MIDCAP 150","10 Jun 2024","19992","20084.9","19871.7","19956.65"
"NIFTY MIDCAP 150","07 Jun 2024","19665.1","19898.25","19593.9","19884.25"
"NIFTY MIDCAP 150","06 Jun 2024","19400.8","19714.05","19385.95","19607.20"
"NIFTY MIDCAP 150","05 Jun 2024","18681.55","19245.55","18188.8","19189.80"
"NIFTY MIDCAP 150","04 Jun 2024","19921.7","19921.7","17744.85","18476.25"
"NIFTY MIDCAP 150","03 Jun 2024","20033.15","20033.15","19716.55","19889.85"
"NIFTY MIDCAP 150","31 May 2024","19305.95","19382.2","19123.1","19308.75"
"NIFTY MIDCAP 150","30 May 2024","19419.55","19434.45","19165.65","19196.70"
"NIFTY MIDCAP 150","29 May 2024","19427.4","19495.1","19336.55","19421.20"
"NIFTY MIDCAP 150","28 May 2024","19676.15","19709.7","19394","19474.95"
"NIFTY MIDCAP 150","27 May 2024","19642","19717.4","19523.6","19625.90"
"NIFTY MIDCAP 150","24 May 2024","19584.1","19667.65","19521.7","19553.15"
"NIFTY MIDCAP 150","23 May 2024","19553.3","19575.25","19421.35","19562.55"
"NIFTY MIDCAP 150","22 May 2024","19498.2","19550.7","19320.8","19469.35"
"NIFTY MIDCAP 150","21 May 2024","19372.95","19425.9","19224.7","19413.20"
"NIFTY MIDCAP 150","18 May 2024","19340.5","19379.35","19325.75","19352.60"
"NIFTY MIDCAP 150","17 May 2024","19111.55","19257.7","19073","19249.20"
"NIFTY MIDCAP 150","16 May 2024","18931.55","19067.15","18908.85","19048.80"
"NIFTY MIDCAP 150","15 May 2024","18755.1","18889.9","18747.4","18865.20"
"NIFTY MIDCAP 150","14 May 2024","18563.8","18705.9","18497.3","18690.10"
"NIFTY MIDCAP 150","13 May 2024","18435.8","18545.35","18100.95","18516.75"
"NIFTY MIDCAP 150","10 May 2024","18303.45","18441.7","18081.1","18423.30"
"NIFTY MIDCAP 150","09 May 2024","18602.15","18617.55","18211.85","18245.35"
"NIFTY MIDCAP 150","08 May 2024","18446.85","18615.45","18335.05","18568.70"
"NIFTY MIDCAP 150","07 May 2024","18860.85","18866.45","18365.2","18471.85"
"NIFTY MIDCAP 150","06 May 2024","19023.65","19025.25","18689.8","18821.30"
"NIFTY MIDCAP 150","03 May 2024","19052.45","19064.05","18809.7","18907.70"
"NIFTY MIDCAP 150","02 May 2024","18971.85","19002.35","18891.8","18975.25"
"NIFTY MIDCAP 150","30 Apr 2024","18914.55","19009.95","18875.95","18893.00"
"NIFTY MIDCAP 150","29 Apr 2024","18836.25","18861.2","18754.35","18847.00"
"NIFTY MIDCAP 150","26 Apr 2024","18699.2","18812.4","18689.3","18782.50"
"NIFTY MIDCAP 150","25 Apr 2024","18578.15","18660.9","18507.3","18643.25"
"NIFTY MIDCAP 150","24 Apr 2024","18513.05","18582.15","18493.45","18568.30"
"NIFTY MIDCAP 150","23 Apr 2024","18342.45","18441.95","18308.8","18417.95"
"NIFTY MIDCAP 150","22 Apr 2024","18265.75","18302.95","18205.05","18234.30"
"NIFTY MIDCAP 150","19 Apr 2024","18042.8","18178.9","17833.55","18111.25"
"NIFTY MIDCAP 150","18 Apr 2024","18362.8","18445.05","18161.25","18195.65"
"NIFTY MIDCAP 150","16 Apr 2024","18185.2","18373.45","18133","18260.60"
"NIFTY MIDCAP 150","15 Apr 2024","18206.05","18392.95","18062.4","18283.20"
"NIFTY MIDCAP 150","12 Apr 2024","18620.8","18722.05","18517","18534.70"
"NIFTY MIDCAP 150","10 Apr 2024","18529.60","18647.25","18486.75","18625.40"
"NIFTY MIDCAP 150","09 Apr 2024","18599.00","18606.30","18411.40","18465.55"
"NIFTY MIDCAP 150","08 Apr 2024","18593.85","18594.90","18428.90","18511.15"
"NIFTY MIDCAP 150","05 Apr 2024","18398.80","18500.80","18369.75","18473.25"
"NIFTY MIDCAP 150","04 Apr 2024","18503.40","18523.65","18330.80","18385.95"
"NIFTY MIDCAP 150","03 Apr 2024","18272.85","18400.00","18224.70","18378.60"
"NIFTY MIDCAP 150","02 Apr 2024","18151.10","18300.35","18088.35","18286.35"
"NIFTY MIDCAP 150","01 Apr 2024","17902.85","18101.75","17882.90","18084.70"
"NIFTY MIDCAP 150","28 Mar 2024","17783.15","17814.25","17676.30","17766.00"
"NIFTY MIDCAP 150","27 Mar 2024","17725.25","17778.40","17672.15","17685.85"
"NIFTY MIDCAP 150","26 Mar 2024","17459.70","17680.85","17457.55","17664.35"
"NIFTY MIDCAP 150","22 Mar 2024","17386.00","17518.05","17343.90","17502.80"
"NIFTY MIDCAP 150","21 Mar 2024","17186.65","17407.55","17184.95","17396.30"
"NIFTY MIDCAP 150","20 Mar 2024","17085.05","17125.45","16832.70","17011.75"
"NIFTY MIDCAP 150","19 Mar 2024","17227.45","17231.10","16954.95","17022.65"
"NIFTY MIDCAP 150","18 Mar 2024","17250.20","17306.30","17068.00","17215.85"
"NIFTY MIDCAP 150","15 Mar 2024","17315.90","17399.90","17031.95","17254.20"
"NIFTY MIDCAP 150","14 Mar 2024","16854.90","17341.50","16717.95","17308.75"
"NIFTY MIDCAP 150","13 Mar 2024","17720.55","17757.20","16838.20","16948.25"
"NIFTY MIDCAP 150","12 Mar 2024","17937.30","17957.00","17600.40","17685.60"
"NIFTY MIDCAP 150","11 Mar 2024","18079.10","18081.05","17884.50","17911.75"
"NIFTY MIDCAP 150","07 Mar 2024","17978.35","18061.95","17956.85","17995.70"
"NIFTY MIDCAP 150","06 Mar 2024","18094.60","18102.30","17700.20","17950.00"
"NIFTY MIDCAP 150","05 Mar 2024","18121.60","18156.00","18023.55","18065.20"
"NIFTY MIDCAP 150","04 Mar 2024","18138.80","18145.80","18027.80","18110.05"
"NIFTY MIDCAP 150","02 Mar 2024","18049.65","18122.70","18034.85","18093.00"
"NIFTY MIDCAP 150","01 Mar 2024","17925.05","17985.75","17890.75","17974.65"
"NIFTY MIDCAP 150","29 Feb 2024","17749.00","17882.80","17559.90","17831.10"
"NIFTY MIDCAP 150","28 Feb 2024","18117.25","18126.15","17708.30","17749.00"
"NIFTY MIDCAP 150","27 Feb 2024","18114.30","18183.55","18014.15","18074.30"
"NIFTY MIDCAP 150","26 Feb 2024","18168.45","18196.20","18012.50","18093.00"
"NIFTY MIDCAP 150","23 Feb 2024","18165.90","18222.40","18104.55","18149.05"
"NIFTY MIDCAP 150","22 Feb 2024","18019.40","18103.50","17782.10","18082.90"
"NIFTY MIDCAP 150","21 Feb 2024","18201.75","18216.45","17896.70","17939.45"
