"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP150 MOMENTUM 50","05 Jul 2024","64494.8","64985.8","64216.8","64930.10"
"NIFTY MIDCAP150 MOMENTUM 50","04 Jul 2024","63992","64411.3","63850.7","64342.95"
"NIFTY MIDCAP150 MOMENTUM 50","03 Jul 2024","63214.3","63823.1","63020.15","63633.40"
"NIFTY MIDCAP150 MOMENTUM 50","02 Jul 2024","63348.65","63427.55","62433.5","62867.30"
"NIFTY MIDCAP150 MOMENTUM 50","01 Jul 2024","62983.1","63198.85","62720.95","63133.60"
"NIFTY MIDCAP150 MOMENTUM 50","28 Jun 2024","62720.15","63103.9","62608.4","62756.05"
"NIFTY MIDCAP150 MOMENTUM 50","27 Jun 2024","62770.95","63394.05","62229.15","62488.85"
"NIFTY MIDCAP150 MOMENTUM 50","26 Jun 2024","63271.6","63357.7","62643.75","62693.50"
"NIFTY MIDCAP150 MOMENTUM 50","25 Jun 2024","63631.75","63819.05","62983.75","63184.05"
"NIFTY MIDCAP150 MOMENTUM 50","24 Jun 2024","63302.4","63636.8","62822.05","63376.05"
"NIFTY MIDCAP150 MOMENTUM 50","21 Jun 2024","63828.45","63988.9","63293.05","63453.90"
"NIFTY MIDCAP150 MOMENTUM 50","20 Jun 2024","63192.45","63649.4","62672.05","63554.40"
"NIFTY MIDCAP150 MOMENTUM 50","19 Jun 2024","64097.55","64097.7","62758.1","63048.85"
"NIFTY MIDCAP150 MOMENTUM 50","18 Jun 2024","63822.35","64001.6","63589.7","63890.50"
"NIFTY MIDCAP150 MOMENTUM 50","14 Jun 2024","63037.5","63670","62762.5","63608.90"
"NIFTY MIDCAP150 MOMENTUM 50","13 Jun 2024","62929.7","63146.85","62532.95","62846.30"
"NIFTY MIDCAP150 MOMENTUM 50","12 Jun 2024","62151.6","62479.35","62015.45","62391.80"
"NIFTY MIDCAP150 MOMENTUM 50","11 Jun 2024","61757.45","62178.2","61471.2","61915.50"
"NIFTY MIDCAP150 MOMENTUM 50","10 Jun 2024","61509.75","61798.5","61098.6","61406.15"
"NIFTY MIDCAP150 MOMENTUM 50","07 Jun 2024","60374.2","61067.3","59995.15","61001.30"
"NIFTY MIDCAP150 MOMENTUM 50","06 Jun 2024","59362.9","60891.05","59303.4","60181.75"
"NIFTY MIDCAP150 MOMENTUM 50","05 Jun 2024","57504.95","58623.7","55349.6","58505.85"
"NIFTY MIDCAP150 MOMENTUM 50","04 Jun 2024","62370.3","62370.3","54378.95","56630.15"
"NIFTY MIDCAP150 MOMENTUM 50","03 Jun 2024","62703.05","62718.55","61661.35","62365.65"
"NIFTY MIDCAP150 MOMENTUM 50","31 May 2024","60042.2","60373","59032.25","59932.25"
"NIFTY MIDCAP150 MOMENTUM 50","30 May 2024","60176.55","60257.25","59349.3","59479.55"
"NIFTY MIDCAP150 MOMENTUM 50","29 May 2024","60301","60507.75","59969.3","60209.95"
"NIFTY MIDCAP150 MOMENTUM 50","28 May 2024","61334.9","61418.85","60174.3","60581.25"
"NIFTY MIDCAP150 MOMENTUM 50","27 May 2024","61234.75","61586.4","60833.9","61149.60"
"NIFTY MIDCAP150 MOMENTUM 50","24 May 2024","60833.25","61318.2","60584.95","60884.20"
"NIFTY MIDCAP150 MOMENTUM 50","23 May 2024","60592.35","60864.2","60344.2","60711.05"
"NIFTY MIDCAP150 MOMENTUM 50","22 May 2024","60718.8","60986.15","60188.5","60373.10"
"NIFTY MIDCAP150 MOMENTUM 50","21 May 2024","60195.85","60674.7","59781.7","60610.60"
"NIFTY MIDCAP150 MOMENTUM 50","18 May 2024","60119.4","60294.8","60113.35","60192.95"
"NIFTY MIDCAP150 MOMENTUM 50","17 May 2024","58938.7","59789.55","58833.3","59736.15"
"NIFTY MIDCAP150 MOMENTUM 50","16 May 2024","58207.3","58852.8","58158.7","58749.15"
"NIFTY MIDCAP150 MOMENTUM 50","15 May 2024","57648.15","58248.35","57625.25","58066.90"
"NIFTY MIDCAP150 MOMENTUM 50","14 May 2024","56952.95","57469.55","56858.65","57423.65"
