Close,Date
18.5381,11-Jul-14
18.5184,14-Jul-14
18.9118,15-Jul-14
19.2525,16-Jul-14
19.4957,17-Jul-14
19.4611,18-Jul-14
19.5091,21-Jul-14
19.4865,22-Jul-14
19.5303,23-Jul-14
19.5868,24-Jul-14
19.1667,25-Jul-14
19.0344,28-Jul-14
19.004,30-Jul-14
19.0808,31-Jul-14
18.9895,01-Aug-14
19.1745,04-Aug-14
19.4055,05-Aug-14
19.4732,06-Aug-14
19.4512,07-Aug-14
19.1367,08-Aug-14
19.242,11-Aug-14
19.3037,12-Aug-14
19.0384,13-Aug-14
19.1482,14-Aug-14
19.6433,18-Aug-14
19.9856,19-Aug-14
20.3212,20-Aug-14
20.3342,21-Aug-14
20.3819,22-Aug-14
20.2872,25-Aug-14
20.2556,26-Aug-14
20.6625,27-Aug-14
20.5841,28-Aug-14
20.8898,01-Sep-14
21.167,02-Sep-14
21.2689,03-Sep-14
21.3692,04-Sep-14
21.5313,05-Sep-14
22.0341,08-Sep-14
22.2212,09-Sep-14
22.2737,10-Sep-14
22.5051,11-Sep-14
22.6838,12-Sep-14
22.7796,15-Sep-14
21.9435,16-Sep-14
22.0228,17-Sep-14
22.5147,18-Sep-14
22.6055,19-Sep-14
22.7188,22-Sep-14
22.3316,23-Sep-14
22.159,24-Sep-14
21.6919,25-Sep-14
21.8195,26-Sep-14
22.0804,29-Sep-14
22.29,30-Sep-14
22.2411,01-Oct-14
22.0424,07-Oct-14
22.0485,08-Oct-14
22.3722,09-Oct-14
22.159,10-Oct-14
22.1953,13-Oct-14
22.2802,14-Oct-14
21.9447,16-Oct-14
21.8983,17-Oct-14
22.0742,20-Oct-14
22.228,21-Oct-14
22.3959,22-Oct-14
22.4776,27-Oct-14
22.537,28-Oct-14
22.6184,29-Oct-14
22.789,30-Oct-14
22.9804,31-Oct-14
23.2246,03-Nov-14
23.4461,05-Nov-14
23.2931,07-Nov-14
23.2814,10-Nov-14
23.4121,11-Nov-14
23.5572,12-Nov-14
23.3836,13-Nov-14
23.3689,14-Nov-14
23.5217,17-Nov-14
23.7464,18-Nov-14
23.6071,19-Nov-14
23.5645,20-Nov-14
23.509,21-Nov-14
23.48,24-Nov-14
23.1205,25-Nov-14
23.176,26-Nov-14
23.2608,27-Nov-14
23.3689,28-Nov-14
23.3066,01-Dec-14
23.4944,02-Dec-14
23.7715,03-Dec-14
23.881,04-Dec-14
24.0106,05-Dec-14
23.8101,08-Dec-14
23.5418,09-Dec-14
23.7632,10-Dec-14
23.7068,11-Dec-14
23.558,12-Dec-14
23.7313,15-Dec-14
22.997,16-Dec-14
22.8372,17-Dec-14
23.4675,18-Dec-14
23.6218,19-Dec-14
23.7111,22-Dec-14
23.6718,23-Dec-14
23.7298,24-Dec-14
23.7939,26-Dec-14
24.0265,29-Dec-14
24.1425,30-Dec-14
24.44,31-Dec-14
24.6368,01-Jan-15
24.7937,02-Jan-15
24.8597,05-Jan-15
24.2566,06-Jan-15
24.4156,07-Jan-15
24.9129,08-Jan-15
25.0705,09-Jan-15
25.4177,12-Jan-15
25.3134,13-Jan-15
25.3002,14-Jan-15
25.6823,15-Jan-15
25.789,16-Jan-15
25.8909,19-Jan-15
25.8347,20-Jan-15
25.8225,21-Jan-15
25.9464,22-Jan-15
25.7768,23-Jan-15
25.9071,27-Jan-15
25.7842,28-Jan-15
25.7521,29-Jan-15
25.5162,30-Jan-15
25.4773,02-Feb-15
25.4515,03-Feb-15
25.3964,04-Feb-15
25.1598,05-Feb-15
24.7699,06-Feb-15
24.5375,09-Feb-15
