Close,Date
14.2041,11-Jul-14
14.216,14-Jul-14
14.4261,15-Jul-14
14.6046,16-Jul-14
14.7858,17-Jul-14
14.832,18-Jul-14
14.8651,21-Jul-14
14.8192,22-Jul-14
14.7925,23-Jul-14
14.8635,24-Jul-14
14.7349,25-Jul-14
14.6928,28-Jul-14
14.6067,30-Jul-14
14.5541,31-Jul-14
14.4505,01-Aug-14
14.4983,04-Aug-14
14.5281,05-Aug-14
14.4394,06-Aug-14
14.3763,07-Aug-14
14.2103,08-Aug-14
14.2756,11-Aug-14
14.2497,12-Aug-14
14.0822,13-Aug-14
14.1563,14-Aug-14
14.4029,18-Aug-14
14.5322,19-Aug-14
14.5899,20-Aug-14
14.6151,21-Aug-14
14.5703,22-Aug-14
14.4776,25-Aug-14
14.433,26-Aug-14
14.5243,27-Aug-14
14.5063,28-Aug-14
14.5886,01-Sep-14
14.7742,02-Sep-14
14.7603,03-Sep-14
14.7548,04-Sep-14
14.7395,05-Sep-14
14.8275,08-Sep-14
14.8143,09-Sep-14
14.8494,10-Sep-14
15.0675,11-Sep-14
15.1353,12-Sep-14
15.1571,15-Sep-14
14.798,16-Sep-14
14.8824,17-Sep-14
15.1506,18-Sep-14
15.2407,19-Sep-14
15.2844,22-Sep-14
15.1033,23-Sep-14
14.9214,24-Sep-14
14.7508,25-Sep-14
14.7782,26-Sep-14
14.8788,29-Sep-14
14.7827,30-Sep-14
14.8235,01-Oct-14
14.6456,07-Oct-14
14.5722,08-Oct-14
14.7594,09-Oct-14
14.5769,10-Oct-14
14.5167,13-Oct-14
14.462,14-Oct-14
14.3874,16-Oct-14
14.3896,17-Oct-14
14.4761,20-Oct-14
14.509,21-Oct-14
14.6208,22-Oct-14
14.7208,27-Oct-14
14.6982,28-Oct-14
14.7456,29-Oct-14
14.8042,30-Oct-14
14.9338,31-Oct-14
15.1612,03-Nov-14
15.0834,05-Nov-14
15.0911,07-Nov-14
15.0768,10-Nov-14
15.169,11-Nov-14
15.1974,12-Nov-14
15.0945,13-Nov-14
15.1046,14-Nov-14
15.1272,17-Nov-14
15.1613,18-Nov-14
15.1682,19-Nov-14
15.1239,20-Nov-14
15.2023,21-Nov-14
15.2649,24-Nov-14
15.2011,25-Nov-14
15.3714,26-Nov-14
15.4273,27-Nov-14
15.5459,28-Nov-14
15.6125,01-Dec-14
15.7448,02-Dec-14
15.8292,03-Dec-14
15.8709,04-Dec-14
15.8547,05-Dec-14
15.8646,08-Dec-14
15.7483,09-Dec-14
15.7657,10-Dec-14
15.6429,11-Dec-14
15.4891,12-Dec-14
15.4012,15-Dec-14
15.1489,16-Dec-14
15.1163,17-Dec-14
15.4964,18-Dec-14
15.6972,19-Dec-14
15.7712,22-Dec-14
15.9438,23-Dec-14
15.9903,24-Dec-14
16.003,26-Dec-14
16.0431,29-Dec-14
16.0644,30-Dec-14
16.2296,31-Dec-14
16.2594,01-Jan-15
16.3896,02-Jan-15
16.3987,05-Jan-15
16.042,06-Jan-15
15.9459,07-Jan-15
16.085,08-Jan-15
16.1482,09-Jan-15
16.1654,12-Jan-15
16.202,13-Jan-15
16.1434,14-Jan-15
16.266,15-Jan-15
16.2718,16-Jan-15
16.3404,19-Jan-15
16.461,20-Jan-15
16.422,21-Jan-15
16.4925,22-Jan-15
16.5457,23-Jan-15
16.5044,27-Jan-15
16.4665,28-Jan-15
16.4071,29-Jan-15
16.3233,30-Jan-15
16.3279,02-Feb-15
16.2575,03-Feb-15
16.2352,04-Feb-15
16.1287,05-Feb-15
16.0507,06-Feb-15
16.0053,09-Feb-15
15.9399,10-Feb-15
16.0161,11-Feb-15
16.0907,12-Feb-15
16.3021,13-Feb-15
16.3025,16-Feb-15
16.3244,18-Feb-15
16.2559,19-Feb-15
16.2915,20-Feb-15
16.239,23-Feb-15
16.2005,24-Feb-15
16.2364,25-Feb-15
16.2366,26-Feb-15
16.3792,27-Feb-15
16.7452,02-Mar-15
16.7754,03-Mar-15
16.8506,04-Mar-15
16.9303,05-Mar-15
16.7325,09-Mar-15
16.6424,10-Mar-15
16.5862,11-Mar-15
16.6038,12-Mar-15
16.537,13-Mar-15
16.4421,16-Mar-15
16.6889,17-Mar-15
16.7067,18-Mar-15
16.682,19-Mar-15
16.5214,20-Mar-15
16.5039,23-Mar-15
16.4938,24-Mar-15
16.4621,25-Mar-15
16.2482,26-Mar-15
16.2595,27-Mar-15
16.3905,30-Mar-15
16.4697,31-Mar-15
16.5589,01-Apr-15
16.5628,06-Apr-15
16.6045,07-Apr-15
16.6891,08-Apr-15
16.7948,09-Apr-15
16.8989,10-Apr-15
16.8958,13-Apr-15
16.8162,15-Apr-15
16.8679,16-Apr-15
16.8565,17-Apr-15
16.6865,20-Apr-15
16.7661,21-Apr-15
16.7796,22-Apr-15
16.7616,23-Apr-15
16.615,24-Apr-15
16.4284,27-Apr-15
16.648,28-Apr-15
16.7186,29-Apr-15
16.7415,30-Apr-15
16.9236,04-May-15
16.8783,05-May-15
16.539,06-May-15
16.3605,07-May-15
16.5439,08-May-15
16.7742,11-May-15
16.7175,12-May-15
16.7915,13-May-15
16.8057,14-May-15
16.8764,15-May-15
16.963,18-May-15
16.9475,19-May-15
17.0129,20-May-15
16.9888,21-May-15
16.9656,22-May-15
16.9074,25-May-15
16.9014,26-May-15
16.8344,27-May-15
16.8628,28-May-15
16.9597,29-May-15
16.8919,01-Jun-15
16.7223,02-Jun-15
16.617,03-Jun-15
16.6551,04-Jun-15
16.5652,05-Jun-15
16.4776,08-Jun-15
16.4288,09-Jun-15
16.4792,10-Jun-15
16.469,11-Jun-15
16.5427,12-Jun-15
16.5428,15-Jun-15
16.5428,16-Jun-15
16.6193,17-Jun-15
16.7002,18-Jun-15
16.7421,19-Jun-15
16.8923,22-Jun-15
16.9541,23-Jun-15
16.9159,24-Jun-15
16.9076,25-Jun-15
16.8993,26-Jun-15
16.8026,29-Jun-15
16.7392,30-Jun-15
16.8275,01-Jul-15
16.8941,02-Jul-15
16.9065,03-Jul-15
16.937,06-Jul-15
17.0401,07-Jul-15
16.9199,08-Jul-15
16.8255,09-Jul-15
16.8145,10-Jul-15
16.9542,13-Jul-15
17.0137,14-Jul-15
17.1124,15-Jul-15
17.2139,16-Jul-15
17.353,17-Jul-15
17.5914,20-Jul-15
17.4381,21-Jul-15
17.4756,22-Jul-15
17.3986,23-Jul-15
17.225,24-Jul-15
16.9719,27-Jul-15
16.9681,28-Jul-15
17.0553,29-Jul-15
17.1318,30-Jul-15
17.1952,31-Jul-15
17.3661,03-Aug-15
17.4151,04-Aug-15
17.3809,05-Aug-15
17.4855,06-Aug-15
17.4492,07-Aug-15
17.3679,10-Aug-15
17.3169,11-Aug-15
17.1477,12-Aug-15
17.1021,13-Aug-15
17.2288,14-Aug-15
17.2445,17-Aug-15
17.265,18-Aug-15
17.3231,19-Aug-15
17.1514,20-Aug-15
17.0198,21-Aug-15
16.2191,24-Aug-15
16.3163,25-Aug-15
16.21,26-Aug-15
16.5639,27-Aug-15
16.6064,28-Aug-15
16.5872,31-Aug-15
16.3755,01-Sep-15
16.2434,02-Sep-15
16.3746,03-Sep-15
16.1642,04-Sep-15
15.9404,07-Sep-15
16.0955,08-Sep-15
16.3121,09-Sep-15
16.3057,10-Sep-15
16.36,11-Sep-15
16.4771,14-Sep-15
16.2858,15-Sep-15
16.3547,16-Sep-15
16.5086,18-Sep-15
16.4225,21-Sep-15
16.33,22-Sep-15
16.255,23-Sep-15
16.2562,24-Sep-15
16.227,28-Sep-15
16.0695,29-Sep-15
16.1357,30-Sep-15
16.1448,01-Oct-15
16.387,05-Oct-15
16.4672,06-Oct-15
16.4584,07-Oct-15
16.425,08-Oct-15
16.5139,09-Oct-15
16.5215,12-Oct-15
16.6312,13-Oct-15
16.7306,14-Oct-15
16.8024,15-Oct-15
16.8506,16-Oct-15
16.854,19-Oct-15
16.9259,20-Oct-15
16.8546,21-Oct-15
16.9417,23-Oct-15
17.2001,26-Oct-15
17.2854,27-Oct-15
17.1653,28-Oct-15
17.2493,29-Oct-15
17.2922,30-Oct-15
17.3999,02-Nov-15
17.4589,03-Nov-15
17.3896,04-Nov-15
17.3254,05-Nov-15
17.1974,06-Nov-15
17.1912,09-Nov-15
17.0605,10-Nov-15
17.1115,13-Nov-15
17.1051,16-Nov-15
17.2018,17-Nov-15
17.1046,18-Nov-15
17.2649,19-Nov-15
17.3094,20-Nov-15
17.421,23-Nov-15
17.4213,24-Nov-15
17.6377,26-Nov-15
17.6701,27-Nov-15
17.8154,30-Nov-15
17.72,01-Dec-15
17.7626,02-Dec-15
17.723,03-Dec-15
17.632,04-Dec-15
17.6875,07-Dec-15
17.5734,08-Dec-15
17.3727,09-Dec-15
17.4146,10-Dec-15
17.2944,11-Dec-15
17.211,14-Dec-15
17.3142,15-Dec-15
17.3893,16-Dec-15
17.5397,17-Dec-15
17.4762,18-Dec-15
17.4792,21-Dec-15
17.5738,22-Dec-15
17.6517,23-Dec-15
17.6266,24-Dec-15
17.7102,28-Dec-15
17.7387,29-Dec-15
17.7863,30-Dec-15
17.7732,31-Dec-15
17.7309,01-Jan-16
17.6198,04-Jan-16
17.5779,05-Jan-16
17.5596,06-Jan-16
17.2838,07-Jan-16
17.2514,08-Jan-16
17.1288,11-Jan-16
17.0742,12-Jan-16
16.9492,13-Jan-16
16.7277,14-Jan-16
16.5564,15-Jan-16
15.9963,18-Jan-16
16.2189,19-Jan-16
16.1072,20-Jan-16
16.1241,21-Jan-16
16.3124,22-Jan-16
16.451,25-Jan-16
16.4458,27-Jan-16
16.3986,28-Jan-16
16.5919,29-Jan-16
16.6609,01-Feb-16
16.6031,02-Feb-16
16.4455,03-Feb-16
16.3545,04-Feb-16
16.3692,05-Feb-16
16.3234,08-Feb-16
16.2121,09-Feb-16
16.0879,10-Feb-16
15.6903,11-Feb-16
15.5877,12-Feb-16
15.9409,15-Feb-16
15.7268,16-Feb-16
15.8319,17-Feb-16
16.0044,18-Feb-16
15.9674,19-Feb-16
15.9948,22-Feb-16
15.9318,23-Feb-16
15.7322,24-Feb-16
15.6638,25-Feb-16
15.7158,26-Feb-16
15.6564,29-Feb-16
15.8379,01-Mar-16
16.1479,02-Mar-16
16.2041,03-Mar-16
16.2373,04-Mar-16
16.1997,08-Mar-16
16.2262,09-Mar-16
16.2049,10-Mar-16
16.258,11-Mar-16
16.3609,14-Mar-16
16.3377,15-Mar-16
16.4116,16-Mar-16
16.5118,17-Mar-16
16.6138,18-Mar-16
16.7221,21-Mar-16
16.7614,22-Mar-16
16.8314,23-Mar-16
16.7035,28-Mar-16
16.7953,29-Mar-16
17.005,30-Mar-16
17.0661,31-Mar-16
17.0291,01-Apr-16
17.0465,04-Apr-16
16.9273,05-Apr-16
16.8446,06-Apr-16
16.8273,07-Apr-16
16.8369,08-Apr-16
16.909,11-Apr-16
16.9352,12-Apr-16
17.1254,13-Apr-16
17.382,18-Apr-16
17.3721,20-Apr-16
17.4061,21-Apr-16
17.4152,22-Apr-16
17.2321,25-Apr-16
17.2348,26-Apr-16
17.1785,27-Apr-16
17.1937,28-Apr-16
17.1537,29-Apr-16
17.1338,02-May-16
17.1043,03-May-16
17.0432,04-May-16
16.9444,05-May-16
16.9841,06-May-16
17.0948,09-May-16
17.1656,10-May-16
17.2315,11-May-16
17.3688,12-May-16
17.3258,13-May-16
17.3054,16-May-16
17.3681,17-May-16
17.325,18-May-16
17.2295,19-May-16
17.0392,20-May-16
17.0928,23-May-16
17.08,24-May-16
17.2329,25-May-16
17.4042,26-May-16
17.4235,27-May-16
17.4826,30-May-16
17.4491,31-May-16
17.4435,01-Jun-16
17.4014,02-Jun-16
17.4335,03-Jun-16
17.3983,06-Jun-16
17.5363,07-Jun-16
17.5812,08-Jun-16
17.6456,09-Jun-16
17.6065,10-Jun-16
17.4619,13-Jun-16
17.4443,14-Jun-16
17.4682,15-Jun-16
17.5674,16-Jun-16
17.5641,17-Jun-16
17.4949,20-Jun-16
17.5603,21-Jun-16
17.5712,22-Jun-16
17.581,23-Jun-16
17.4377,24-Jun-16
17.344,27-Jun-16
17.2582,28-Jun-16
17.4234,29-Jun-16
17.5526,30-Jun-16
17.5883,01-Jul-16
17.7378,04-Jul-16
17.6714,05-Jul-16
17.6633,07-Jul-16
17.6548,08-Jul-16
17.85,11-Jul-16
17.9102,12-Jul-16
17.9342,13-Jul-16
17.8766,14-Jul-16
17.8406,15-Jul-16
