Close,Date
53.5934,10-Jul-19
53.9327,11-Jul-19
54.3478,12-Jul-19
54.2986,15-Jul-19
54.6143,16-Jul-19
54.376,17-Jul-19
53.8307,18-Jul-19
53.3029,19-Jul-19
53.1347,22-Jul-19
52.8834,23-Jul-19
51.8181,24-Jul-19
52.0065,25-Jul-19
52.2139,26-Jul-19
51.739,29-Jul-19
51.1131,30-Jul-19
51.5601,31-Jul-19
50.825,01-Aug-19
50.7078,02-Aug-19
50.1618,05-Aug-19
50.8886,06-Aug-19
50.5197,07-Aug-19
50.8515,08-Aug-19
51.3738,09-Aug-19
50.1615,13-Aug-19
50.8535,14-Aug-19
51.1022,16-Aug-19
51.0307,19-Aug-19
50.5713,20-Aug-19
49.596,21-Aug-19
48.9095,22-Aug-19
49.2995,23-Aug-19
50.2516,26-Aug-19
51.1777,27-Aug-19
51.4026,28-Aug-19
50.9588,29-Aug-19
51.4804,30-Aug-19
51.1942,03-Sep-19
51.209,04-Sep-19
51.037,05-Sep-19
51.6988,06-Sep-19
52.2742,09-Sep-19
52.1334,11-Sep-19
51.6176,12-Sep-19
51.9264,13-Sep-19
51.1896,16-Sep-19
50.1586,17-Sep-19
50.4635,18-Sep-19
49.8359,19-Sep-19
52.9228,20-Sep-19
54.1398,23-Sep-19
53.8059,24-Sep-19
53.4671,25-Sep-19
53.9101,26-Sep-19
53.9087,27-Sep-19
53.0118,30-Sep-19
52.3266,01-Oct-19
52.4047,03-Oct-19
51.5198,04-Oct-19
51.5874,07-Oct-19
52.1201,09-Oct-19
51.352,10-Oct-19
51.7157,11-Oct-19
52.0063,14-Oct-19
52.1496,15-Oct-19
52.2996,16-Oct-19
53.4189,17-Oct-19
54.3253,18-Oct-19
54.9854,22-Oct-19
55.7765,23-Oct-19
55.3504,24-Oct-19
55.3999,25-Oct-19
56.3999,29-Oct-19
57.1014,30-Oct-19
57.5153,31-Oct-19
57.082,01-Nov-19
57.081,04-Nov-19
56.2048,05-Nov-19
56.2854,06-Nov-19
56.0601,07-Nov-19
55.7464,08-Nov-19
56.1837,11-Nov-19
56.7102,13-Nov-19
56.8178,14-Nov-19
56.681,15-Nov-19
57.0568,18-Nov-19
57.3307,19-Nov-19
57.4379,20-Nov-19
57.351,21-Nov-19
56.9015,22-Nov-19
57.2265,25-Nov-19
56.7251,26-Nov-19
57.3408,27-Nov-19
57.8483,28-Nov-19
57.5918,29-Nov-19
57.3629,02-Dec-19
56.965,03-Dec-19
57.0755,04-Dec-19
56.7838,05-Dec-19
56.2917,06-Dec-19
56.171,09-Dec-19
55.3357,10-Dec-19
55.6148,11-Dec-19
56.0762,12-Dec-19
56.418,13-Dec-19
55.9057,16-Dec-19
56.0988,17-Dec-19
55.8029,18-Dec-19
56.0773,19-Dec-19
56.0646,20-Dec-19
55.9366,23-Dec-19
55.7772,24-Dec-19
55.9528,26-Dec-19
56.3996,27-Dec-19
56.5326,30-Dec-19
56.428,31-Dec-19
56.4189,01-Jan-20
56.9688,02-Jan-20
56.778,03-Jan-20
55.6976,06-Jan-20
56.2173,07-Jan-20
56.1255,08-Jan-20
57.0619,09-Jan-20
57.0136,10-Jan-20
57.4274,13-Jan-20
58.2117,14-Jan-20
58.4506,15-Jan-20
58.5949,16-Jan-20
58.7012,17-Jan-20
58.5722,20-Jan-20
58.7161,21-Jan-20
58.8953,22-Jan-20
59.7082,23-Jan-20
60.4024,24-Jan-20
60.6531,27-Jan-20
60.5752,28-Jan-20
60.8375,29-Jan-20
60.105,30-Jan-20
59.7157,31-Jan-20
58.0425,03-Feb-20
58.5763,04-Feb-20
59.1907,05-Feb-20
59.0951,06-Feb-20
59.6584,07-Feb-20
59.5773,10-Feb-20
60.0588,11-Feb-20
60.1219,12-Feb-20
59.8924,13-Feb-20
58.9999,14-Feb-20
58.4797,17-Feb-20
59.0137,18-Feb-20
60.4177,19-Feb-20
60.7193,20-Feb-20
59.7133,24-Feb-20
59.6428,25-Feb-20
58.7661,26-Feb-20
57.9347,27-Feb-20
55.8033,28-Feb-20
55.9281,02-Mar-20
57.0181,03-Mar-20
56.517,04-Mar-20
57.1614,05-Mar-20
56.1637,06-Mar-20
53.6295,09-Mar-20
53.3443,11-Mar-20
49.2353,12-Mar-20
50.2095,13-Mar-20
47.316,16-Mar-20
46.2054,17-Mar-20
43.3121,18-Mar-20
42.0994,19-Mar-20
45.0055,20-Mar-20
40.4996,23-Mar-20
40.7455,24-Mar-20
41.754,25-Mar-20
43.3782,26-Mar-20
43.3332,27-Mar-20
42.9923,30-Mar-20
44.41,31-Mar-20
43.7147,01-Apr-20
43.7147,01-Apr-20
43.6407,03-Apr-20
43.6407,03-Apr-20
46.715,07-Apr-20
46.715,07-Apr-20
48.5326,08-Apr-20
48.5326,08-Apr-20
49.7311,09-Apr-20
49.7311,09-Apr-20
49.7987,13-Apr-20
49.7987,13-Apr-20
49.9375,15-Apr-20
49.9375,15-Apr-20
50.6858,16-Apr-20
50.6858,16-Apr-20
50.8369,17-Apr-20
50.8369,17-Apr-20
50.5395,20-Apr-20
50.5395,20-Apr-20
49.9428,21-Apr-20
49.9428,21-Apr-20
49.9446,22-Apr-20
49.9446,22-Apr-20
50.6232,23-Apr-20
50.6232,23-Apr-20
50.3992,24-Apr-20
50.3992,24-Apr-20
51.6601,27-Apr-20
51.6601,27-Apr-20
51.7687,28-Apr-20
51.7687,28-Apr-20
51.8212,29-Apr-20
51.8212,29-Apr-20
51.9138,30-Apr-20
51.9138,30-Apr-20
51.7864,04-May-20
51.7864,04-May-20
51.7331,05-May-20
51.7331,05-May-20
52.105,06-May-20
52.105,06-May-20
52.0884,07-May-20
52.0884,07-May-20
51.8829,08-May-20
51.8829,08-May-20
51.8446,11-May-20
51.8446,11-May-20
51.5599,12-May-20
51.5599,12-May-20
51.6134,13-May-20
51.6134,13-May-20
51.8594,14-May-20
51.8594,14-May-20
52.0253,15-May-20
52.0253,15-May-20
50.8905,18-May-20
50.8905,18-May-20
51.2438,19-May-20
51.2438,19-May-20
51.6204,20-May-20
51.6204,20-May-20
52.2025,21-May-20
52.2025,21-May-20
52.314,22-May-20
52.314,22-May-20
52.2757,26-May-20
52.2757,26-May-20
52.6368,27-May-20
52.6368,27-May-20
52.9098,28-May-20
52.9098,28-May-20
53.2197,29-May-20
53.2197,29-May-20
53.8411,01-Jun-20
53.8411,01-Jun-20
54.0996,02-Jun-20
54.0996,02-Jun-20
54.1472,03-Jun-20
54.1472,03-Jun-20
54.1289,04-Jun-20
54.1289,04-Jun-20
55.0839,05-Jun-20
55.0839,05-Jun-20
55.1066,08-Jun-20
55.1066,08-Jun-20
54.6084,09-Jun-20
54.6084,09-Jun-20
54.8485,10-Jun-20
54.8485,10-Jun-20
54.4155,11-Jun-20
54.4155,11-Jun-20
54.6559,12-Jun-20
54.6559,12-Jun-20
54.2432,15-Jun-20
54.2432,15-Jun-20
54.8212,16-Jun-20
54.8212,16-Jun-20
55.393,17-Jun-20
55.393,17-Jun-20
55.5556,18-Jun-20
55.5556,18-Jun-20
55.7688,19-Jun-20
55.7688,19-Jun-20
57.4547,22-Jun-20
